symbol,trading_date,open,raw_open_text,high,low,close,source,fetched_at,valid_numeric,valid_positive,within_hl_range,validation_flags,in_db,db_open,db_high,db_low,db_close,comparison_flags
KSE-ALL,2018-12-06,28734.34,"28,734.34",28779.71,28152.7,28176.99,ksestocks.com/MarketSummary,2026-07-03T15:32:36.532212+00:00,1,1,1,,1,,28779.71,28152.7,28176.99,
KSE-MI30,2018-12-06,66558.56,"66,558.56",66795.34,64322.91,64423.47,ksestocks.com/MarketSummary,2026-07-03T15:32:36.532212+00:00,1,1,1,,1,,66795.34,64322.91,64423.47,
KSE-MIALL,2018-12-06,19217.34,"19,217.34",19273.81,18720.29,18735.04,ksestocks.com/MarketSummary,2026-07-03T15:32:36.532212+00:00,1,1,1,,1,,19273.81,18720.29,18735.04,
KSE-100,2018-12-07,38300.33,"38,300.33",38651.88,37779.01,38562.05,ksestocks.com/MarketSummary,2026-07-03T15:32:41.252363+00:00,1,1,1,,1,,38651.88,37779.01,38562.05,
KSE-30,2018-12-07,18267.95,"18,267.95",18445.15,17962.37,18382.42,ksestocks.com/MarketSummary,2026-07-03T15:32:41.252363+00:00,1,1,1,,1,,18445.15,17962.37,18382.42,
KSE-ALL,2018-12-07,28179.56,"28,179.56",28395.58,27834.24,28331.5,ksestocks.com/MarketSummary,2026-07-03T15:32:41.252363+00:00,1,1,1,,1,,28395.58,27834.24,28331.5,
KSE-MI30,2018-12-07,64412.8,"64,412.80",65024.26,63082.96,64764.27,ksestocks.com/MarketSummary,2026-07-03T15:32:41.252363+00:00,1,1,1,,1,,65024.26,63082.96,64764.27,
KSE-MIALL,2018-12-07,18734.47,"18,734.47",18863.54,18394.19,18802.23,ksestocks.com/MarketSummary,2026-07-03T15:32:41.252363+00:00,1,1,1,,1,,18863.54,18394.19,18802.23,
KSE-100,2018-12-10,38826.23,"38,826.23",39438.79,38826.23,39299.62,ksestocks.com/MarketSummary,2026-07-03T15:32:46.087489+00:00,1,1,1,,1,,39438.79,38826.23,39299.62,
KSE-30,2018-12-10,18549.82,"18,549.82",18903.24,18549.82,18800.19,ksestocks.com/MarketSummary,2026-07-03T15:32:46.087489+00:00,1,1,1,,1,,18903.24,18549.82,18800.19,
KSE-ALL,2018-12-10,28507.38,"28,507.38",28860.69,28507.38,28793.11,ksestocks.com/MarketSummary,2026-07-03T15:32:46.087489+00:00,1,1,1,,1,,28860.69,28507.38,28793.11,
KSE-MI30,2018-12-10,65493.12,"65,493.12",66771.48,65493.12,66423.37,ksestocks.com/MarketSummary,2026-07-03T15:32:46.087489+00:00,1,1,1,,1,,66771.48,65493.12,66423.37,
KSE-MIALL,2018-12-10,18999.68,"18,999.68",19329.82,18999.68,19275.21,ksestocks.com/MarketSummary,2026-07-03T15:32:46.087489+00:00,1,1,1,,1,,19329.82,18999.68,19275.21,
KSE-100,2018-12-11,39338.68,"39,338.68",39338.68,38800.28,38851.96,ksestocks.com/MarketSummary,2026-07-03T15:32:50.563610+00:00,1,1,1,,1,,39338.68,38800.28,38851.96,
KSE-30,2018-12-11,18765.54,"18,765.54",18765.54,18484.97,18512.82,ksestocks.com/MarketSummary,2026-07-03T15:32:50.563610+00:00,1,1,1,,1,,18765.54,18484.97,18512.82,
KSE-ALL,2018-12-11,28822.8,"28,822.80",28822.8,28509.71,28551.59,ksestocks.com/MarketSummary,2026-07-03T15:32:50.563610+00:00,1,1,1,,1,,28822.8,28509.71,28551.59,
KSE-MI30,2018-12-11,66491.45,"66,491.45",66491.45,65418.39,65548.16,ksestocks.com/MarketSummary,2026-07-03T15:32:50.563610+00:00,1,1,1,,1,,66491.45,65418.39,65548.16,
KSE-MIALL,2018-12-11,19313.41,"19,313.41",19313.41,19035.47,19078.33,ksestocks.com/MarketSummary,2026-07-03T15:32:50.563610+00:00,1,1,1,,1,,19313.41,19035.47,19078.33,
KSE-100,2018-12-12,38770.56,"38,770.56",38810.15,38130.07,38307.44,ksestocks.com/MarketSummary,2026-07-03T15:32:55.350557+00:00,1,1,1,,1,,38810.15,38130.07,38307.44,
KSE-30,2018-12-12,18475.42,"18,475.42",18518.76,18141.9,18251.05,ksestocks.com/MarketSummary,2026-07-03T15:32:55.350557+00:00,1,1,1,,1,,18518.76,18141.9,18251.05,
KSE-ALL,2018-12-12,28507.43,"28,507.43",28537.72,28014.66,28183.98,ksestocks.com/MarketSummary,2026-07-03T15:32:55.350557+00:00,1,1,1,,1,,28537.72,28014.66,28183.98,
KSE-MI30,2018-12-12,65362.79,"65,362.79",65464.93,64167.75,64818.17,ksestocks.com/MarketSummary,2026-07-03T15:32:55.350557+00:00,1,1,1,,1,,65464.93,64167.75,64818.17,
KSE-MIALL,2018-12-12,19034.48,"19,034.48",19080.88,18700.62,18857.55,ksestocks.com/MarketSummary,2026-07-03T15:32:55.350557+00:00,1,1,1,,1,,19080.88,18700.62,18857.55,
KSE-100,2018-12-13,38328.51,"38,328.51",38464.86,37766.96,38011.63,ksestocks.com/MarketSummary,2026-07-03T15:32:59.914316+00:00,1,1,1,,1,,38464.86,37766.96,38011.63,
KSE-30,2018-12-13,18262.48,"18,262.48",18340.08,17967.26,18090.05,ksestocks.com/MarketSummary,2026-07-03T15:32:59.914316+00:00,1,1,1,,1,,18340.08,17967.26,18090.05,
KSE-ALL,2018-12-13,28199.29,"28,199.29",28288.93,27796.43,28019.76,ksestocks.com/MarketSummary,2026-07-03T15:32:59.914316+00:00,1,1,1,,1,,28288.93,27796.43,28019.76,
KSE-MI30,2018-12-13,64876.01,"64,876.01",65107.47,63527.86,64003.84,ksestocks.com/MarketSummary,2026-07-03T15:32:59.914316+00:00,1,1,1,,1,,65107.47,63527.86,64003.84,
KSE-MIALL,2018-12-13,18873.78,"18,873.78",18946.64,18569.44,18674.51,ksestocks.com/MarketSummary,2026-07-03T15:32:59.914316+00:00,1,1,1,,1,,18946.64,18569.44,18674.51,
KSE-100,2018-12-14,38062.64,"38,062.64",38597.98,38032.46,38585.66,ksestocks.com/MarketSummary,2026-07-03T15:33:04.733007+00:00,1,1,1,,1,,38597.98,38032.46,38585.66,
KSE-30,2018-12-14,18122.61,"18,122.61",18419.57,18116.49,18405.91,ksestocks.com/MarketSummary,2026-07-03T15:33:04.733007+00:00,1,1,1,,1,,18419.57,18116.49,18405.91,
KSE-ALL,2018-12-14,28058.7,"28,058.70",28351.96,28047.78,28326.96,ksestocks.com/MarketSummary,2026-07-03T15:33:04.733007+00:00,1,1,1,,1,,28351.96,28047.78,28326.96,
KSE-MI30,2018-12-14,64174.42,"64,174.42",65254.63,64000.41,65132.1,ksestocks.com/MarketSummary,2026-07-03T15:33:04.733007+00:00,1,1,1,,1,,65254.63,64000.41,65132.1,
