date,breadth,dispersion,participation,mkt_ret,n_stocks,avg_correlation,regime,volatility_level,trend_persistence
2007-01-04,29.454545454545457,5.174994322527494,1.4545454545454546,-0.7190854256832926,275,0.2868730246362115,VOLATILE,1.568193690031538,10.0
2007-01-05,24.175824175824175,6.336041080411848,0.7326007326007326,-0.5341352446268952,273,0.28909412991594374,VOLATILE,1.5645251572822878,11.0
2007-01-08,27.741935483870968,5.461872305072061,0.967741935483871,0.0625003957037022,310,0.27181798236933474,VOLATILE,1.5417019996170356,12.0
2007-01-09,24.161073825503358,4.287883150636875,0.6711409395973155,-0.21028115362036887,298,0.2889304416609589,VOLATILE,1.5490557134358645,13.0
2007-01-10,27.906976744186046,5.734087136503321,0.33222591362126247,-0.2824415613433393,301,0.2873987601210515,VOLATILE,1.5125270378124518,14.0
2007-01-11,26.11464968152866,9.054898362033788,0.0,0.9611408527415142,314,0.28787188377388334,RANGING,1.4977710332790797,0.0
2007-01-12,30.743243243243246,12.669292548330441,0.6756756756756757,2.072863747984071,296,0.2860667136237429,RANGING,1.4963848117972727,1.0
2007-01-15,30.476190476190478,8.015575335059163,0.6349206349206349,0.012526739592304558,315,0.2735343542312253,RANGING,1.4958001507491778,2.0
2007-01-16,30.246913580246915,5.58588208888069,0.6172839506172839,-0.42490859476344944,324,0.26401422017083,VOLATILE,1.5025083588355321,0.0
2007-01-17,33.65384615384615,6.634582684741485,0.641025641025641,0.006284832899334171,312,0.2795788515551604,RANGING,1.4947758853397952,0.0
2007-01-18,35.59870550161812,8.922580102562712,0.9708737864077669,0.7459625650104225,309,0.2429169916976724,RANGING,1.4148961864386862,1.0
2007-01-19,45.06578947368421,6.913952604600367,1.9736842105263157,1.3258046795565843,304,0.19763850420704807,RANGING,1.2678232285310738,2.0
2007-01-22,43.75,6.625224027743999,1.875,0.16875646303058225,320,0.1721304445467402,RANGING,1.1988843503610638,3.0
