symbol,date,entry_close,breakout,rs_score_20,ret_5d,ret_10d,ret_20d,ret_30d,ret_60d,ret_90d,mfe_pct,mae_pct,hit_tp_10
PREMA,2026-03-18,25.91,0,-18.172977433392667,-3.2419915090698566,-7.526051717483593,45.8124276341181,27.170976456966432,36.163643380934005,,51.485912774990354,-11.231184870706292,0
PREMA,2022-04-07,22.66,0,-6.8768013761928986,7.016769638128862,-1.5445719329214538,-14.165931156222422,-10.856134157105036,-12.709620476610764,-7.325684024713151,10.635481023830538,-26.081200353045013,0
PREMA,2019-11-13,19.48,0,-3.6307360735089222,-3.644763860369614,0.35934291581108974,16.889117043121146,6.981519507186855,-0.8726899383983661,-28.28542094455852,22.94661190965092,-33.26488706365503,0
PREMA,2019-01-11,19.49,0,-0.2582132001892612,1.590559261159581,-0.41046690610568654,2.668034889687035,30.990251410980008,17.54746023601848,-0.30785017957926486,49.769112365315564,-5.336069779374034,0
PREMA,2021-06-18,20.39,0,9.55409844234405,11.132908288376653,13.437959784207937,25.944090240313873,52.67287886218733,45.21824423737125,37.42030407062285,58.11672388425699,1.2751348700343208,0
PREMA,2026-05-22,35.29,0,5.605944843160793,-3.3153867951261033,1.3884953244545255,0.42504958911872653,-6.064040804760557,,,7.735902521960907,-13.544913573250206,0
PREMA,2021-09-15,30.06,0,1.76656339128769,-6.45375914836992,-9.214903526280771,-10.37924151696606,-8.549567531603461,-25.64870259481037,-23.48636061210911,4.324683965402531,-31.803060545575512,0
PREMA,2026-07-15,31.1,0,-10.101292443687026,,,,,,,5.273311897106111,0.22508038585209092,0
PREMA,2022-07-19,18.65,0,1.890967483982231,-7.506702412868625,-4.55764075067023,15.549597855227896,21.072386058981234,20.75067024128687,12.064343163538876,38.87399463806971,-10.187667560321708,0
PREMA,2024-09-18,17.31,0,31.00563000293559,-0.8665511265164563,-8.376660889659153,-15.077989601386479,-12.47833622183708,49.0467937608319,37.20392836510689,95.84055459272098,-19.699595609474287,0
PREMA,2024-11-18,20.05,0,29.725546132788615,0.6483790523690723,24.389027431421447,20.299251870324188,32.019950124688265,45.33665835411471,147.08229426433914,185.18703241895258,-6.483790523690776,0
PREMA,2018-11-23,22.33,0,-8.783330341218443,-5.463502015226148,-10.971786833855797,-11.464397671294218,-13.613972234661887,7.389162561576365,19.928347514554424,30.721003134796256,-18.943125839677553,0
PREMA,2018-09-17,27.25,0,-0.7455989901119287,-3.0091743119266066,-10.86238532110092,-28.99082568807339,-12.770642201834864,-30.201834862385326,-28.77064220183486,3.486238532110089,-33.57798165137614,0
PREMA,2025-11-28,39.09,0,-2.4782206971965204,0.665131747249931,3.4535686876438842,-2.81401893067281,3.6838066001534857,-25.940138142747514,-32.10539779994884,12.560757226912244,-41.16142235865951,0
PREMA,2025-12-26,38.21,0,-8.436990845485726,2.4077466631771833,7.537293902119871,1.4917560847945572,2.617115938236064,-29.076158073802667,-9.290761580738037,15.153101282386809,-39.80633342057053,0
PREMA,2019-10-04,16.44,0,-0.20151797565808316,12.347931873479304,9.184914841849135,4.440389294403895,23.661800486617985,29.44038929440389,18.61313868613138,45.68126520681264,-5.656934306569352,0
PREMA,2023-10-09,15.27,0,-4.749570453442109,4.584151931892607,2.226588081204976,-1.5062213490504284,9.037328094302548,-3.929273084479369,-14.27635887360838,16.76489849377864,-14.865749836280287,0
PREMA,2025-12-02,39.72,0,-9.123959510551938,-0.8056394763343411,1.1329305135951735,-1.4098690835851013,-1.812688821752263,-20.971802618328294,-34.26485397784491,10.775427995971807,-42.09466263846928,0
PREMA,2026-02-13,38.5,0,0.5556051295386721,-14.987012987012996,-22.415584415584412,-31.16883116883117,-38.5974025974026,-10.41558441558441,-7.922077922077915,1.948051948051948,-40.25974025974026,0
PREMA,2021-01-06,19.76,0,2.4685793756386243,-0.3542510121457504,-2.5303643724696356,-3.7955465587044532,-6.578947368421055,-16.751012145748998,-11.234817813765194,2.2267206477732677,-21.50809716599191,0
PREMA,2025-02-11,26.49,0,7.968466354920123,61.079652699131756,9.777274443186108,33.52208380520951,81.76670441676104,53.86938467346168,50.54737636844094,254.85088712721785,-7.474518686296705,0
PREMA,2023-10-10,15.54,0,-3.9188153420412153,2.2522522522522617,1.158301158301168,-4.697554697554689,11.389961389961387,-2.316602316602313,-14.736164736164731,14.736164736164731,-16.344916344916342,0
PREMA,2025-12-12,40.44,0,-1.0178503503733172,-2.1018793273986014,-6.058358061325411,0.22255192878339125,-5.192878338278918,-33.97626112759644,-19.238377843719093,8.803165182987147,-43.125618199802176,0
PREMA,2019-11-11,20.98,0,4.000481472202621,-1.858913250714969,-9.151572926596767,9.246901811248815,-8.38894184938037,-4.909437559580558,-31.36320305052431,14.156339370829354,-31.36320305052431,0
PREMA,2023-05-31,16.51,0,-4.0191021569674135,-0.3634161114476212,-1.8776499091459855,6.904906117504524,5.875227135069648,-3.2707450030284733,-4.845548152634771,16.898849182313743,-14.597213809812246,0
PREMA,2018-11-13,21.93,0,7.265984771806156,8.435932512539907,-1.1855905152758688,-9.165526675786586,-14.819881440948473,-8.527131782945741,25.71819425444597,33.10533515731875,-17.46466028271773,0
PREMA,2021-06-29,21.68,0,13.365547473407702,2.3985239852398506,11.66974169741698,22.140221402214024,31.78044280442805,30.8579335793358,31.319188191881913,48.70848708487086,-1.2915129151291564,0
PREMA,2018-10-04,24.08,0,-15.794917260198737,-16.19601328903654,-15.490033222591352,-0.08305647840531385,-6.644518272425241,-21.09634551495016,-15.697674418604644,8.347176079734227,-24.833887043189357,0
