symbol,date,breakout,regime,outcome,stock_rs,vol_ratio,liquidity,lookback
786,2018-11-01,1,VOLATILE,59.803318992009835,642.1007896958071,2.7659122271436325,128516.66666666667,20
786,2024-01-12,0,VOLATILE,-6.0,-113.42106311248111,0.14232041009227228,386933.3333333333,20
786,2018-11-02,1,VOLATILE,50.98722415795588,618.2706769048757,2.760175239301896,135050.0,20
786,2009-08-21,0,VOLATILE,-6.0,-25.819993018001284,1.0347652311339084,8462.266666666666,20
786,2018-11-05,1,VOLATILE,42.919868276619106,861.3261210633857,3.265344692162663,150991.66666666666,20
786,2026-04-15,0,VOLATILE,-6.0,190.6469181515504,1.4518056440475995,733604.8,20
786,2018-11-06,1,VOLATILE,35.699373695198325,689.5677608145672,3.1544680456842475,158016.66666666666,20
786,2009-11-24,0,VOLATILE,-6.0,-14.15375628051212,1.1192151344644063,2384.4666666666667,20
786,2018-11-07,1,VOLATILE,29.096325719960277,728.2539574468698,3.158244455498583,167958.33333333334,20
786,2009-06-30,0,VOLATILE,-6.0,-75.43712711540316,0.5240166651463338,13191.666666666666,20
786,2018-11-08,1,VOLATILE,26.900584795321635,924.0886433989401,3.7304199501529514,181683.33333333334,20
786,2026-02-18,0,VOLATILE,-6.0,30.397463311692594,1.92651206134892,149397.01666666666,20
786,2018-11-15,1,VOLATILE,22.060889929742373,871.7228005879081,4.481927855694098,228216.66666666666,20
786,2009-08-25,0,VOLATILE,-6.0,-33.63278394741542,1.0222675759433468,8071.45,20
786,2018-12-03,1,RANGING,7.6414704667492686,512.6782658060977,2.5880737492792836,512666.6666666667,20
786,2009-07-17,0,RANGING,-6.0,-87.69905022603614,0.5215748020872291,13166.666666666666,20
786,2018-12-04,1,TRENDING_DOWN,-6.0,413.4500117131087,2.326896814377178,539433.3333333334,20
786,2019-03-22,0,TRENDING_DOWN,16.468330134357,3.8019337061361282,3.8934042655881815,164516.66666666666,20
786,2019-05-22,1,TRENDING_DOWN,-6.0,16.795048544811383,2.6266351926628073,140158.33333333334,20
