symbol,signal_date,entry_date,entry_price,exit_date,exit_price,outcome,return_pct,holding_days,rs_rating,rs_score
GWLC,2021-01-04,2021-01-05,41.8,2021-01-15,38.8629,sl,-7.0267,10,97.5,122.23
GWLC,2021-02-16,2021-02-17,42.44,2021-03-04,43.1523,sl,1.6783,15,95.5,120.67
HAEL,2023-10-04,2023-10-05,10.99,2023-10-26,17.043,sl,55.0773,21,96.7,34.85
HAFL,2025-12-16,2025-12-17,551.1,2025-12-22,507.012,sl,-8.0,5,96.7,160.59
HALEON,2024-09-10,2024-09-11,467.05,2024-10-14,556.2209,sl,19.0924,33,95.9,119.05
HALEON,2024-10-21,2024-10-22,635.0,2024-12-16,940.1,time,48.0472,55,98.1,166.74
HALEON,2025-04-11,2025-04-14,853.4,2025-04-23,785.128,sl,-8.0,9,97.2,113.97
HASCOL,2022-11-02,2022-11-03,7.69,2022-12-13,7.5154,sl,-2.2701,40,97.6,51.89
HCAR,2023-11-29,2023-11-30,236.84,2023-12-13,217.8928,sl,-8.0,13,96.1,47.68
HCAR,2024-01-10,2024-01-11,286.1,2024-01-12,263.212,sl,-8.0,1,95.9,58.65
HUBC,2023-11-13,2023-11-14,121.01,2023-12-19,118.3514,sl,-2.197,35,95.7,33.19
HWQS,2025-07-17,2025-07-18,31.49,2025-07-23,28.9708,sl,-8.0,5,96.4,144.49
ICIBL,2025-06-10,2025-06-11,5.74,2025-06-12,5.2808,sl,-8.0,1,97.7,189.91
ICIBL,2025-06-13,2025-06-16,7.4,2025-07-21,10.9244,sl,47.6274,35,99.3,326.81
ICL,2023-04-20,2023-04-26,34.9,2023-05-31,38.899,sl,11.4585,35,95.4,25.33
INKL,2025-09-02,2025-09-03,47.0,2025-09-04,43.24,sl,-8.0,1,96.1,141.81
INKL,2025-09-23,2025-09-24,53.0,2025-10-07,62.9629,sl,18.7978,13,95.2,136.41
INKL,2025-10-16,2025-10-17,80.8,2025-10-20,74.336,sl,-8.0,3,97.9,226.93
INKL,2025-11-03,2025-11-04,77.4,2025-11-11,71.6364,sl,-7.4465,7,97.3,251.19
INKL,2025-11-17,2025-11-18,95.56,2025-11-21,87.9152,sl,-8.0,3,97.7,309.92
ISIL,2023-08-17,2023-09-19,642.5,2024-02-01,1228.2759,sl,91.1713,135,95.3,33.4
ISIL,2024-05-14,2024-05-15,1295.0,2024-06-03,1508.2323,sl,16.4658,19,98.1,142.58
ISIL,2024-09-13,2024-09-16,1555.0,2024-10-11,1698.7453,sl,9.2441,25,95.8,122.31
JKSM,2025-08-21,2025-08-22,275.0,2025-08-29,253.0,sl,-8.0,7,98.4,381.47
JKSM,2025-09-15,2025-09-16,272.0,2025-09-19,250.24,sl,-8.0,3,98.6,352.22
JOPP,2023-07-14,2023-07-17,70.0,2023-12-06,112.8093,sl,61.1561,142,95.3,30.68
JOPP,2023-12-11,2023-12-15,114.36,2024-02-14,160.0,sl,39.9091,61,98.8,161.18
JSBL,2023-08-25,2023-08-28,6.2,2023-08-31,5.704,sl,-8.0,3,97.4,36.08
