symbol,signal_date,entry_date,entry_price,exit_date,exit_price,outcome,return_pct,rs_rating,rs_score,holding_days,year,rs_bucket
AIRLINK,2024-12-02,2024-12-03,143.0,2024-12-04,154.44,tp,8.0,85.9,31.49,1,2024,80-90
AIRLINK,2024-12-05,2024-12-06,176.0,2024-12-09,190.08,tp,8.0,91.7,62.95,3,2024,90-95
AIRLINK,2024-12-11,2024-12-12,187.88,2024-12-17,202.9104,tp,8.0,93.9,81.55,5,2024,90-95
AKBL,2022-11-10,2022-11-11,21.0,2022-11-24,21.39,time,1.8571,83.3,7.88,13,2022,80-90
AKBL,2024-07-04,2024-07-05,27.0,2024-07-08,29.16,tp,8.0,80.3,7.78,3,2024,80-90
AKBL,2024-10-15,2024-10-16,30.1,2024-10-18,28.896,sl,-4.0,80.1,12.8,2,2024,80-90
AKBL,2024-11-27,2024-11-28,36.0,2024-11-29,38.88,tp,8.0,81.2,15.02,1,2024,80-90
AKBL,2025-01-31,2025-02-03,43.0,2025-02-06,41.28,sl,-4.0,81.0,16.28,3,2025,80-90
AKBL,2025-03-13,2025-03-14,41.49,2025-03-17,39.8304,sl,-4.0,83.4,17.36,3,2025,80-90
AKBL,2025-05-12,2025-05-13,43.75,2025-05-21,47.25,tp,8.0,82.4,18.69,8,2025,80-90
AKBL,2025-07-02,2025-07-03,55.01,2025-07-04,59.4108,tp,8.0,84.8,44.06,1,2025,80-90
AKBL,2025-07-08,2025-07-09,63.0,2025-07-18,68.04,tp,8.0,89.7,68.4,9,2025,80-90
AKBL,2025-07-23,2025-07-24,71.0,2025-08-04,68.16,sl,-4.0,89.1,68.38,11,2025,80-90
AKBL,2025-08-06,2025-08-07,71.1,2025-08-22,76.788,tp,8.0,89.2,52.23,15,2025,80-90
AKBL,2025-09-04,2025-09-05,83.2,2025-09-18,83.74,time,0.649,93.1,87.92,13,2025,90-95
AKBL,2025-10-01,2025-10-02,85.0,2025-10-03,91.8,tp,8.0,90.2,75.52,1,2025,90-95
AKBL,2025-10-10,2025-10-13,90.0,2025-10-15,97.2,tp,8.0,92.2,92.25,2,2025,90-95
AKBL,2025-10-20,2025-10-21,105.0,2025-10-23,100.8,sl,-4.0,93.4,111.72,2,2025,90-95
AKDHL,2024-07-10,2024-07-11,206.99,2024-07-12,198.7104,sl,-4.0,81.3,13.62,1,2024,80-90
AKDHL,2025-05-23,2025-05-26,216.5,2025-05-27,207.84,sl,-4.0,84.0,28.09,1,2025,80-90
AKGL,2025-03-25,2025-03-27,42.0,2025-04-04,45.36,tp,8.0,92.8,59.58,8,2025,90-95
AKGL,2025-04-07,2025-04-08,41.0,2025-04-15,44.28,tp,8.0,95.0,71.45,7,2025,90-95
AKGL,2025-04-23,2025-04-29,41.01,2025-05-14,44.2908,tp,8.0,92.3,66.81,15,2025,90-95
AKGL,2025-06-25,2025-06-26,51.37,2025-06-27,55.4796,tp,8.0,94.1,81.42,1,2025,90-95
ALAC,2025-07-18,2025-07-21,11.52,2025-07-22,12.4416,tp,8.0,87.1,51.5,1,2025,80-90
ALAC,2025-07-23,2025-07-24,14.25,2025-07-25,13.68,sl,-4.0,94.5,121.3,1,2025,90-95
ALAC,2025-09-15,2025-09-16,15.04,2025-09-17,14.4384,sl,-4.0,93.1,87.64,1,2025,90-95
ALAC,2025-09-23,2025-09-24,18.52,2025-09-25,17.7792,sl,-4.0,96.8,171.2,1,2025,95-100
ALTN,2023-11-07,2023-11-08,22.0,2023-11-10,23.76,tp,8.0,87.4,10.4,2,2023,80-90
ALTN,2023-11-15,2023-11-16,26.4,2023-11-17,25.344,sl,-4.0,92.8,28.04,1,2023,90-95
ANL,2021-01-13,2021-01-14,29.45,2021-01-15,28.272,sl,-4.0,88.8,65.62,1,2021,80-90
ANL,2021-01-25,2021-01-26,30.95,2021-01-29,33.426,tp,8.0,91.0,69.78,3,2021,90-95
ANL,2021-02-18,2021-02-19,31.9,2021-02-22,30.624,sl,-4.0,91.2,88.68,3,2021,90-95
ANL,2021-03-01,2021-03-02,31.89,2021-03-04,34.4412,tp,8.0,91.3,85.48,2,2021,90-95
ANL,2021-03-05,2021-03-08,34.51,2021-03-09,33.1296,sl,-4.0,94.6,91.86,1,2021,90-95
ANTM,2024-08-26,2024-08-27,18.6,2024-08-28,17.856,sl,-4.0,85.8,28.32,1,2024,80-90
ANTM,2025-06-18,2025-06-19,21.0,2025-06-20,22.68,tp,8.0,81.2,32.96,1,2025,80-90
ANTM,2025-06-24,2025-06-25,28.38,2025-06-26,27.2448,sl,-4.0,94.6,83.48,1,2025,90-95
ANTM,2025-08-01,2025-08-04,32.67,2025-08-05,35.2836,tp,8.0,95.5,97.09,1,2025,95-100
ANTM,2025-08-07,2025-08-08,34.51,2025-08-11,37.2708,tp,8.0,96.7,149.8,3,2025,95-100
ANTM,2025-10-17,2025-10-20,38.13,2025-10-21,41.1804,tp,8.0,95.0,152.74,1,2025,90-95
ANTM,2025-10-22,2025-10-23,42.0,2025-10-24,40.32,sl,-4.0,95.0,154.83,1,2025,90-95
