symbol,start,end,outcome,breakout_idx,close_at_breakout,ema_at_breakout,price_above_ema,ema_rising,ema_slope_pct,raw_pct_move,sma_at_breakout,passes_sma,passes_ema
BWHL,1880,1960,down,1961,84.0812,92.9947719453382,False,False,-1.4489505597062544,28.572736830587576,98.807053,True,True
CENI,3480,3560,up,3595,26.49,22.920092703258504,True,True,1.8335429013782667,40.43035107587771,22.23505,True,True
CEPB,840,920,down,921,13.79,29.54162540455529,False,False,-10.360991315144211,5.656272661348799,32.27845,True,True
CHBL,360,440,up,441,10.85,12.001402753499628,False,False,-2.9378259694716595,15.668202764976968,11.8565,False,False
CHCC,2280,2360,up,2361,58.85,51.6297428818883,True,True,1.6381095864717112,34.34154630416313,52.9795985,True,True
CLOV,1480,1560,up,1561,91.0,81.53828242597015,True,True,0.1603800621987548,122.9120879120879,80.25065,True,True
CPPL,3160,3240,up,3246,168.95,169.99018972875294,False,False,-0.5698433886765703,-16.040248594258657,162.42770000000002,True,False
CPPL,4480,4560,down,4561,124.0,115.45607439716264,True,True,1.425066193704701,12.096774193548388,112.7905,False,False
CRTM,3560,3640,up,3641,18.68,19.774954867215463,False,False,-2.244264474087952,-13.383297644539615,19.4409,False,False
CSAP,4920,5000,up,5011,106.0,104.6516813240208,True,False,-0.3223793217919871,-8.500000000000005,109.6084,False,True
CYAN,640,720,up,721,10.1499,16.240144636684825,False,False,-8.253684678858829,78.11998147765003,14.410637999999999,False,False
CYAN,4120,4200,up,4201,24.01,24.730929698607813,False,False,-0.960069747848196,49.937526030820486,25.96855,False,False
DAAG,840,920,up,923,18.9,18.774654363154696,True,False,-1.0133836012846311,-18.095238095238088,19.032899999999998,False,True
DAAG,2240,2320,down,2322,94.01,101.88191989070528,False,True,0.046125551212138,6.105733432613561,102.40455,True,True
DCL,680,760,up,768,15.6,14.66504742194418,True,True,0.2834110379162503,-12.179487179487182,14.748,True,True
