symbol,sector,tier,n_rows,n_placeholder_dropped,coverage,min_positive_close
MERIT,PAPER & BOARD,mid,4463,0,0.823,6.22
MFFL,FOOD & PERSONAL CARE PRODUCTS,mid,3916,4,0.722,45.13
MFL,FOOD & PERSONAL CARE PRODUCTS,liquid,2056,0,0.97,14.12
MLCF,CEMENT,liquid,5274,0,0.972,1.6
MSCL,ENGINEERING,thin,2258,22,0.416,4.9292
MSOT,TEXTILE COMPOSITE,thin,3160,11,0.583,14.0
MTL,AUTOMOBILE ASSEMBLER,liquid,5229,0,0.964,25.7572
MUGHAL,ENGINEERING,liquid,2781,0,0.981,18.97
MUREB,FOOD & PERSONAL CARE PRODUCTS,mid,4498,1,0.829,58.1
MWMP,MISCELLANEOUS,thin,2488,5,0.459,0.0011
NATF,FOOD & PERSONAL CARE PRODUCTS,mid,4693,0,0.865,18.213
NBP,COMMERCIAL BANKS,liquid,5279,0,0.973,18.89
NCL,TEXTILE COMPOSITE,liquid,5275,0,0.972,7.25
NCPL,POWER GENERATION & DISTRIBUTION,liquid,4127,0,0.979,8.49
NESTLE,FOOD & PERSONAL CARE PRODUCTS,thin,3708,3,0.684,475.0
NETSOL,TECHNOLOGY & COMMUNICATION,liquid,5113,0,0.972,8.37
NICL,CHEMICAL,mid,4816,3,0.888,1.13
NML,TEXTILE COMPOSITE,liquid,5275,0,0.972,21.71
NPL,POWER GENERATION & DISTRIBUTION,liquid,4115,1,0.974,7.2049
NRL,REFINERY,liquid,5268,0,0.971,74.89
NRSL,CHEMICAL,liquid,5228,0,0.964,1.35
OBOY,OIL & GAS MARKETING COMPANIES,mid,1339,5,0.813,1.6
OCTOPUS,TECHNOLOGY & COMMUNICATION,liquid,1181,0,0.982,24.89
OGDC,OIL & GAS EXPLORATION COMPANIES,liquid,5286,0,0.975,40.75
OML,MISCELLANEOUS,thin,2551,17,0.479,0.0024
OTSU,PHARMACEUTICALS,thin,3318,13,0.612,26.5568
PABC,MISCELLANEOUS,liquid,1232,0,0.979,25.98
PACE,PROPERTY,liquid,4773,0,0.971,1.16
PAEL,CABLE & ELECTRICAL GOODS,liquid,5277,0,0.973,2.2137
PAKD,TECHNOLOGY & COMMUNICATION,mid,4229,0,0.78,22.83
PAKOXY,CHEMICAL,liquid,4959,0,0.914,49.7346
PAKRI,INSURANCE,liquid,5181,1,0.955,5.66
PASM,TEXTILE COMPOSITE,thin,1741,5,0.321,2.02
PCAL,CABLE & ELECTRICAL GOODS,mid,4632,0,0.854,27.54
PECO,ENGINEERING,thin,2730,34,0.503,34.44
PHDL,MISCELLANEOUS,thin,1943,0,0.385,1.01
PIBTL,TRANSPORT,liquid,3086,0,0.976,3.47
PICT,TRANSPORT,liquid,4909,0,0.905,20.35
