symbol,n_candidates,win_rate,mean_R,total_R,sector
SHEL,3,33.33333333333333,1.4734660549465202,4.42039816483956,OIL & GAS MARKETING COMPANIES
SHEZ,3,0.0,-0.7538831556458456,-2.261649466937537,FOOD & PERSONAL CARE PRODUCTS
SHFA,4,25.0,-0.36931818181818177,-1.477272727272727,MISCELLANEOUS
SHNI,1,0.0,-0.9999999999999998,-0.9999999999999998,INSURANCE
SILK,3,0.0,-0.8771689497716895,-2.6315068493150684,COMMERCIAL BANKS
SITC,3,0.0,-1.0,-3.0,CHEMICAL
SMCPL,4,0.0,-1.1754807692307685,-4.701923076923074,CEMENT
SNBL,2,50.0,1.558789289871945,3.11757857974389,COMMERCIAL BANKS
SNGP,1,0.0,-1.0,-1.0,OIL & GAS MARKETING COMPANIES
SPEL,1,0.0,-1.0,-1.0,MISCELLANEOUS
SPWL,1,100.0,5.969560518731976,5.969560518731976,POWER GENERATION & DISTRIBUTION
SSGC,9,22.22222222222222,1.4354005167958666,12.918604651162799,OIL & GAS MARKETING COMPANIES
STCL,2,0.0,-1.0,-2.0,GLASS & CERAMICS
STPL,1,100.0,1.1315933315113422,1.1315933315113422,MISCELLANEOUS
SYS,2,0.0,-1.0,-2.0,TECHNOLOGY & COMMUNICATION
TELE,2,0.0,-1.0000000000000004,-2.000000000000001,TECHNOLOGY & COMMUNICATION
TGL,3,0.0,-1.0362068965517244,-3.108620689655173,GLASS & CERAMICS
THALL,1,0.0,-1.991489361702128,-1.991489361702128,AUTOMOBILE PARTS & ACCESSORIES
THCCL,3,0.0,-1.2142851147761127,-3.6428553443283382,CEMENT
TOWL,2,0.0,-1.1593830334190223,-2.3187660668380445,TEXTILE COMPOSITE
TPLP,2,0.0,-1.0576923076923082,-2.1153846153846163,PROPERTY
TREET,1,0.0,-1.1899999999999975,-1.1899999999999975,FOOD & PERSONAL CARE PRODUCTS
TRG,3,66.66666666666666,3.582225382154283,10.74667614646285,TECHNOLOGY & COMMUNICATION
TRIPF,1,0.0,-1.0,-1.0,MISCELLANEOUS
TSPL,1,0.0,-1.0,-1.0,POWER GENERATION & DISTRIBUTION
UBDL,1,0.0,-1.756521739130435,-1.756521739130435,MISCELLANEOUS
UBL,4,0.0,-1.4321598690086321,-5.7286394760345285,COMMERCIAL BANKS
UDPL,1,100.0,1.6681818181818169,1.6681818181818169,MISCELLANEOUS
UNIC,5,0.0,-1.0853927085882062,-5.4269635429410314,INSURANCE
UPFL,1,100.0,14.610651974288334,14.610651974288334,FOOD & PERSONAL CARE PRODUCTS
UVIC,1,0.0,-1.0,-1.0,INSURANCE
WAHN,1,0.0,-1.402061855670099,-1.402061855670099,CHEMICAL
WAVES,2,0.0,-1.0,-2.0,CABLE & ELECTRICAL GOODS
WTL,1,0.0,-1.166666666666668,-1.166666666666668,TECHNOLOGY & COMMUNICATION
ZAHID,1,0.0,-1.0799999999999983,-1.0799999999999983,TEXTILE COMPOSITE
ZIL,2,0.0,-1.0,-2.0,FOOD & PERSONAL CARE PRODUCTS
