sector,symbol,start,end,kind,outcome,direction,breakout_idx,type_trigger,entry_price,lfd_level,r_lfd_denom,rolling_status,rolling_stop,r_rolling_denom,opposite_stop,r_opposite_denom,lfd_hit_bar,rolling_hit_bar,opposite_hit_bar,anchor_bar,simultaneous_hit,horizon_reached,realized_R_lfd,realized_R_rolling,realized_R_opposite,realistic_realized_R,realized_R_realistic,R_final,tier,breakout_date
OIL & GAS MARKETING COMPANIES,SSGC,2080,2160,descending,up,up,2163,2.0,25.29,24.0,1.2899999999999991,skipped_risk_gt_6pct,23.76,,23.7094029209622,1.5805970790377977,,,,2253,False,True,6.418604651162796,,5.2385266996953606,,6.418604651162796,6.418604651162796,liquid,2014-01-08
OIL & GAS MARKETING COMPANIES,BPL,720,800,descending,down,down,802,2.0,31.5,32.92,1.4200000000000017,ok,33.3,1.7999999999999972,32.59449389590918,1.0944938959091814,,,,892,False,True,6.239436619718302,4.92222222222223,8.095065703989254,,6.239436619718302,6.239436619718302,mid,2011-02-10
CHEMICAL,PAKOXY,2080,2160,descending,up,up,2163,1.0,117.9081,112.3779,5.530200000000008,skipped_risk_gt_6pct,109.13,,110.55520122161732,7.352898778382681,,,,2253,False,True,6.0293841090738045,,4.534769348114726,,6.0293841090738045,6.0293841090738045,liquid,2014-09-19
POWER GENERATION & DISTRIBUTION,SPWL,920,1000,ascending,down,down,1023,2.0,13.9048,14.46,0.555200000000001,ok,14.6,0.6951999999999998,15.244927695625384,1.3401276956253856,,,,1113,False,True,5.969560518731976,4.76740506329114,2.4731225321429866,,5.969560518731976,5.969560518731976,liquid,2019-02-14
CEMENT,DGKC,2920,3000,ascending,down,down,3015,3.0,227.28,242.0,14.72,skipped_risk_gt_6pct,249.82,,243.6798362770391,16.3998362770391,,,,3105,False,True,5.752717391304349,,5.163466181583644,,5.752717391304349,5.752717391304349,liquid,2017-06-01
OIL & GAS EXPLORATION COMPANIES,OGDC,2400,2480,descending,down,down,2482,1.0,197.74,205.3,7.560000000000002,ok,207.56,9.819999999999991,212.29584623473733,14.555846234737372,,,,2572,False,True,5.370370370370372,4.134419551934832,2.789257274723647,,5.370370370370372,5.370370370370372,liquid,2015-03-16
TEXTILE COMPOSITE,ILP,800,880,ascending,down,down,881,2.0,60.01,62.0,1.990000000000002,skipped_risk_gt_6pct,64.53,,64.00466328643861,3.994663286438616,,,,971,False,True,5.361809045226122,,2.6710636754350023,,5.361809045226122,5.361809045226122,liquid,2022-10-28
AUTOMOBILE ASSEMBLER,GHNI,1360,1440,descending,up,up,1447,2.0,3.3355,3.0756,0.2599,skipped_risk_gt_6pct,2.95,,3.0152524185899465,0.3202475814100536,,,,1537,False,True,5.344363216621776,,4.337269289854485,,5.344363216621776,5.344363216621776,liquid,2012-07-05
AUTOMOBILE PARTS & ACCESSORIES,BWHL,1400,1480,ascending,up,up,1492,1.0,48.9582,45.9466,3.0116000000000014,skipped_risk_gt_6pct,45.4,,45.37088749235848,3.5873125076415207,,,,1582,False,True,5.317339620135476,,4.463982428597562,,5.317339620135476,5.317339620135476,thin,2015-08-05
TECHNOLOGY & COMMUNICATION,TRG,3400,3480,descending,down,down,3487,2.0,22.12,23.57,1.4499999999999993,skipped_risk_gt_6pct,24.23,,24.11645049148885,1.9964504914888472,,,,3577,False,True,5.282758620689658,,3.836809393799481,,5.282758620689658,5.282758620689658,liquid,2019-04-04
