symbol,start,end,outcome,direction,breakout_idx,entry_price,stop_price,target_price,exit_bar,exit_type,realized_R
GATM,1000,1080,up,up,1081,22.43,21.9814,23.3272,1082,stop,-1.0
GFIL,1720,1800,down,down,1813,3.46,3.5292,3.3215999999999997,1814,target,2.0
GFIL,2840,2920,down,down,2923,8.38,8.547600000000001,8.0448,2924,stop,-1.0
GGGL,1880,1960,down,down,1961,6.3,6.426,6.048,1963,stop,-1.0
GGL,1760,1840,down,down,1841,30.75,31.365000000000002,29.52,1843,stop,-1.0
GHGL,40,120,down,down,128,67.05,68.391,64.368,129,stop,-1.0
GHGL,1360,1440,down,down,1442,52.64,53.6928,50.5344,1444,stop,-1.0
GHGL,2480,2560,whipsaw,up,2565,95.83,93.9134,99.6632,2567,stop,-1.0
GHGL,3200,3280,down,down,3292,44.99,45.8898,43.1904,3298,target,2.0
GHGL,3880,3960,down,down,3991,41.26,42.0852,39.60959999999999,3992,stop,-1.0
GHGL,4000,4080,sequential,down,4086,39.81,40.6062,38.2176,4090,stop,-1.0
GHNI,920,1000,down,down,1001,7.9702,8.129604,7.6513919999999995,1002,stop,-1.0
GHNI,1360,1440,up,up,1447,3.3355,3.26879,3.4689200000000002,1448,stop,-1.0
GHNI,4040,4120,down,down,4121,85.99,87.7098,82.5504,4122,target,2.0
GLAXO,1480,1560,down,down,1567,70.5,71.91,67.67999999999999,1568,stop,-1.0
GLAXO,2440,2520,up,up,2521,200.2,196.196,208.208,2522,stop,-1.0
GLAXO,2560,2640,down,down,2641,219.4,223.788,210.624,2645,stop,-1.0
GLAXO,3400,3480,down,down,3481,116.51,118.84020000000001,111.8496,3485,target,2.0
GLPL,640,720,sequential,up,724,47.5087,46.55852599999999,49.409048,725,stop,-1.0
GLPL,720,800,down,down,807,43.5769,44.448438,41.833824,810,target,2.0
GTYR,4640,4720,down,down,4721,37.28,38.025600000000004,35.7888,4722,stop,-1.0
GVGL,720,800,down,down,801,15.75,16.065,15.12,804,stop,-1.0
GWLC,960,1040,up,up,1052,12.4716,12.222168,12.970464000000002,1053,stop,-1.0
GWLC,2720,2800,down,down,2814,56.8,57.936,54.528,2815,target,2.0
HALEON,0,80,up,up,84,139.71,136.91580000000002,145.29840000000002,86,stop,-1.0
HASCOL,2600,2680,sequential,up,2685,12.37,12.122599999999998,12.864799999999999,2687,target,2.0
HBL,2040,2120,up,up,2123,176.22,172.69559999999998,183.2688,2125,target,2.0
