symbol,start,end,leg_index,entry_bar,entry_price,lfd_level,r_lfd_denom,exit_bar,exit_type,realized_R
CRTM,3560,3640,3,3655,17.97,17.65,0.3200000000000003,3657,lfd,-1.0
CSAP,4920,5000,0,5011,106.0,103.8,2.200000000000003,5024,lfd,-1.0
CSAP,4920,5000,1,5025,104.93,103.3,1.6300000000000097,5027,lfd,-1.0
CSAP,4920,5000,2,5028,102.04,102.55,-0.5099999999999909,5029,lfd,-1.0
CSAP,4920,5000,3,5030,100.84,99.5,1.3400000000000034,5031,lfd,-1.0
CYAN,640,720,0,721,10.1499,10.133,0.01690000000000147,811,horizon,405.3372781064736
CYAN,4120,4200,0,4201,24.01,23.75,0.26000000000000156,4206,lfd,-1.0
CYAN,4120,4200,1,4207,24.1,23.63,0.4700000000000024,4297,horizon,14.893617021276519
DAAG,840,920,0,923,18.9,17.8,1.0999999999999979,929,lfd,-1.0
DAAG,840,920,1,934,18.51,17.51,1.0,938,lfd,-1.0
DAAG,840,920,2,940,18.65,17.26,1.389999999999997,945,lfd,-1.0
DAAG,840,920,3,946,17.8,17.02,0.7800000000000011,950,lfd,-1.0
DCL,2520,2600,0,2605,14.79,15.39,0.6000000000000014,2695,horizon,4.416666666666654
DGKC,680,760,0,764,95.0,91.9,3.0999999999999943,824,lfd,-1.0
DGKC,680,760,1,825,95.5,91.01,4.489999999999995,830,lfd,-1.0
DGKC,680,760,2,831,89.3,89.75,-0.45000000000000284,832,lfd,-1.0
DGKC,680,760,3,833,84.5,86.56,-2.0600000000000023,834,lfd,-1.0
DGKC,1480,1560,0,1573,21.86,22.97,1.1099999999999994,1617,lfd,-1.0
DGKC,1480,1560,1,1619,22.56,23.65,1.0899999999999999,1692,lfd,-1.0
DGKC,1480,1560,2,1693,23.43,23.85,0.4200000000000017,1694,lfd,-1.0
DGKC,2920,3000,0,3015,227.28,242.0,14.719999999999999,3105,horizon,5.752717391304349
DOL,3560,3640,0,3646,24.55,26.0,1.4499999999999993,3731,lfd,-1.0
DOL,3560,3640,1,3732,25.71,26.39,0.6799999999999997,3750,lfd,-1.0
DOL,3560,3640,2,3751,25.49,26.74,1.25,3752,lfd,-1.0
DOL,3560,3640,3,3753,24.83,26.74,1.9100000000000001,3843,horizon,2.0628272251308886
DSL,3080,3160,0,3172,4.42,4.7,0.28000000000000025,3186,lfd,-1.0
DSL,3080,3160,1,3203,4.61,5.07,0.45999999999999996,3223,lfd,-1.0
DSL,3080,3160,2,3235,5.08,5.4,0.3200000000000003,3236,lfd,-1.0
DSL,3080,3160,3,3239,5.04,5.35,0.3099999999999996,3252,lfd,-1.0
DSL,4000,4080,0,4091,6.12,5.55,0.5700000000000003,4181,horizon,1.5087719298245612
DSL,4360,4440,0,4441,5.92,6.25,0.33000000000000007,4471,lfd,-1.0
DSL,4360,4440,1,4472,6.55,6.85,0.2999999999999998,4474,lfd,-1.0
DSL,4360,4440,2,4475,6.82,7.4,0.5800000000000001,4525,horizon,2.9310344827586206
ECOP,4920,5000,0,5004,51.34,48.3,3.0400000000000063,5026,horizon,-0.08552631578947519
EFERT,520,600,0,601,66.58,68.25,1.6700000000000017,619,lfd,-1.0
EFERT,520,600,1,622,67.93,69.75,1.8199999999999932,637,lfd,-1.0
EFERT,520,600,2,639,68.74,69.8,1.0600000000000023,729,horizon,0.4245283018867808
EFUG,1680,1760,0,1763,45.6791,43.8775,1.8016000000000005,1853,horizon,0.4483792184724689
ENGRO,80,160,0,161,93.7758,88.8765,4.899300000000011,251,horizon,6.9140693568468805
ENGRO,1280,1360,0,1381,137.5634,133.6592,3.904200000000003,1471,horizon,4.3116899748988216
ENGRO,1320,1400,0,1405,141.0312,137.3337,3.6975000000000193,1495,horizon,4.399513184584149
ENGRO,1840,1920,0,1930,88.74,92.5,3.760000000000005,1945,lfd,-1.0
ENGRO,1840,1920,1,1946,90.38,92.74,2.3599999999999994,1948,lfd,-1.0
ENGRO,1880,1960,0,1961,99.16,93.55,5.609999999999999,2051,horizon,3.9946524064171123
