sector,symbol,start,end,kind,outcome,direction,type_trigger,trigger_bar,entry_price,lfd_level,open_at_trigger,gapped,realistic_exit_price,realistic_realized_R,worse_by_R
INSURANCE,EFUL,2760,2840,symmetrical,sequential,down,4.0,2850,206.66,212.01,212.87,True,212.87,-1.1607476635514047,-0.16074766355140468
FERTILIZER,ENGRO,1840,1920,symmetrical,sequential,down,3.0,1945,88.74,92.5,88.98,False,92.5,-1.0,0.0
FERTILIZER,ENGRO,4200,4280,descending,down,down,4.0,4285,253.68,257.0,255.79,False,257.0,-1.0,0.0
CHEMICAL,EPCL,2840,2920,descending,sequential,up,4.0,2927,27.57,25.99,26.61,False,25.99,-1.0,0.0
CHEMICAL,EPCLPS,280,360,descending,up,up,4.0,366,12.0,11.51,11.75,False,11.51,-1.0,0.0
POWER GENERATION & DISTRIBUTION,EPQL,960,1040,descending,up,up,2.0,1061,16.8362,16.3721,16.1853,True,16.1853,-1.402499461322985,-0.4024994613229851
POWER GENERATION & DISTRIBUTION,EPQL,1960,2040,symmetrical,sequential,up,4.0,2052,20.6677,19.071,20.6233,False,19.071,-1.0,0.0
POWER GENERATION & DISTRIBUTION,EPQL,2040,2120,symmetrical,down,down,4.0,2124,17.4892,17.9992,17.3413,False,17.9992,-1.0,0.0
AUTOMOBILE PARTS & ACCESSORIES,EXIDE,4120,4200,descending,up,up,4.0,4223,857.18,842.0,851.0,False,842.0,-1.0,0.0
COMMERCIAL BANKS,FABL,2040,2120,symmetrical,sequential,down,4.0,2154,10.07,11.54,10.78,False,11.54,-1.0,0.0
FERTILIZER,FATIMA,2080,2160,ascending,down,down,4.0,2162,34.43,34.5,34.43,False,34.5,-1.000000000000001,-1.1102230246251565e-15
CEMENT,FCCL,2520,2600,descending,up,up,4.0,2634,36.72,34.54,34.8,False,34.54,-0.9999999999999998,2.220446049250313e-16
CEMENT,FCCL,2560,2640,ascending,sequential,down,4.0,2651,34.02,34.88,34.55,False,34.88,-1.0,0.0
CEMENT,FCCL,5080,5160,ascending,down,down,4.0,5168,56.16,58.9,56.5,False,58.9,-1.0,0.0
FOOD & PERSONAL CARE PRODUCTS,FCEPL,1000,1080,descending,down,down,4.0,1101,139.44,149.0,148.0,False,149.0,-1.0,0.0
FOOD & PERSONAL CARE PRODUCTS,FCEPL,3280,3360,symmetrical,sequential,up,3.0,3395,89.79,84.05,82.0,True,82.0,-1.357142857142856,-0.3571428571428561
FOOD & PERSONAL CARE PRODUCTS,FCEPL,3480,3560,symmetrical,sequential,up,4.0,3581,93.79,85.5,88.21,False,85.5,-1.0,0.0
CEMENT,FECTC,3520,3600,symmetrical,up,up,2.0,3616,35.35,34.55,34.55,False,34.55,-1.0,0.0
PHARMACEUTICALS,FEROZ,1240,1320,ascending,sequential,up,4.0,1334,98.53,94.03,96.0,False,94.03,-1.0,0.0
FERTILIZER,FFC,360,440,descending,up,up,4.0,449,59.1387,57.8466,58.1696,False,57.8466,-1.0,0.0
FERTILIZER,FFC,400,480,ascending,down,down,2.0,514,57.0515,58.0206,57.1509,False,58.0206,-1.0000000000000002,-2.220446049250313e-16
FERTILIZER,FFC,2760,2840,descending,down,down,4.0,2844,110.07,110.69,110.01,False,110.69,-1.0,0.0
FERTILIZER,FFC,4880,4960,symmetrical,down,down,4.0,4962,374.09,375.0,374.0,False,375.0,-1.0,0.0
FOOD & PERSONAL CARE PRODUCTS,FFL,280,360,ascending,sequential,up,4.0,373,52.0,49.9,54.6,False,49.9,-1.0,0.0
CEMENT,FLYNG,1320,1400,symmetrical,down,down,3.0,1422,3.41,3.72,3.58,False,3.72,-1.0000000000000002,-2.220446049250313e-16
TEXTILE COMPOSITE,FML,1720,1800,descending,down,down,4.0,1818,62.03,64.0,64.14,True,64.14,-1.0710659898477162,-0.07106598984771617
AUTOMOBILE ASSEMBLER,GAL,520,600,symmetrical,up,up,4.0,602,475.3,465.05,461.0,True,461.0,-1.3951219512195132,-0.3951219512195132
TEXTILE COMPOSITE,GATM,1000,1080,ascending,up,up,2.0,1111,22.43,21.4,23.14,False,21.4,-1.0,0.0
TEXTILE COMPOSITE,GFIL,1720,1800,ascending,down,down,1.0,1846,3.46,4.2,3.83,False,4.2,-1.0,0.0
TEXTILE COMPOSITE,GFIL,2840,2920,descending,down,down,4.0,2937,8.38,9.3,8.5,False,9.3,-0.9999999999999999,1.1102230246251565e-16
GLASS & CERAMICS,GGGL,1880,1960,ascending,down,down,4.0,1963,6.3,6.4,6.38,False,6.4,-1.0000000000000002,-2.220446049250313e-16
CHEMICAL,GGL,1760,1840,descending,down,down,4.0,1844,30.75,32.19,32.49,True,32.49,-1.2083333333333368,-0.2083333333333368
GLASS & CERAMICS,GHGL,40,120,descending,down,down,3.0,184,67.05,73.0,69.0,False,73.0,-1.0,0.0
