sector,symbol,start,end,kind,outcome,direction,type_trigger,trigger_bar,entry_price,lfd_level,open_at_trigger,gapped,realistic_exit_price,realistic_realized_R,worse_by_R
INSURANCE,JLICL,1560,1640,ascending,up,up,4.0,1643,82.5,77.5,76.25,True,76.25,-1.25,-0.25
COMMERCIAL BANKS,JSBL,160,240,symmetrical,sequential,down,4.0,244,18.8,19.35,19.0,False,19.35,-1.0,0.0
COMMERCIAL BANKS,JSBL,1200,1280,symmetrical,up,up,4.0,1284,5.51,5.34,5.31,True,5.31,-1.176470588235296,-0.17647058823529593
COMMERCIAL BANKS,JSBL,1600,1680,symmetrical,sequential,down,4.0,1692,4.09,4.38,4.34,False,4.38,-1.0000000000000002,-2.220446049250313e-16
COMMERCIAL BANKS,JSBL,3240,3320,descending,sequential,up,3.0,3333,7.15,6.75,6.97,False,6.75,-1.0000000000000002,-2.220446049250313e-16
COMMERCIAL BANKS,JSBL,3360,3440,ascending,down,down,4.0,3454,5.25,5.45,5.48,True,5.48,-1.1500000000000017,-0.1500000000000017
TEXTILE COMPOSITE,JUBS,560,640,ascending,sequential,down,4.0,645,5.41,5.65,5.3,False,5.65,-1.0,0.0
PROPERTY,JVDC,1120,1200,symmetrical,up,up,1.0,1249,30.3,28.75,29.11,False,28.75,-1.0,0.0
POWER GENERATION & DISTRIBUTION,KAPCO,1680,1760,symmetrical,up,up,4.0,1765,45.45,43.75,45.09,False,43.75,-1.0,0.0
POWER GENERATION & DISTRIBUTION,KAPCO,2440,2520,ascending,sequential,down,4.0,2538,86.27,87.7,87.7,False,87.7,-1.0,0.0
POWER GENERATION & DISTRIBUTION,KAPCO,2480,2560,ascending,sequential,up,3.0,2597,93.68,89.11,91.65,False,89.11,-1.0,0.0
POWER GENERATION & DISTRIBUTION,KAPCO,4200,4280,descending,up,up,1.0,4338,27.7,26.89,27.39,False,26.89,-1.0,0.0
POWER GENERATION & DISTRIBUTION,KAPCO,5160,5240,descending,up,up,4.0,5242,28.26,28.16,28.06,True,28.06,-2.0000000000000004,-1.0000000000000004
POWER GENERATION & DISTRIBUTION,KEL,3160,3240,ascending,sequential,up,3.0,3271,6.75,6.45,6.6,False,6.45,-1.0,0.0
TEXTILE COMPOSITE,KML,1280,1360,descending,sequential,up,3.0,1384,17.6,16.1,16.65,False,16.1,-1.0,0.0
