sector,symbol,start,end,kind,outcome,horizon,excluded_insufficient_data,raw_pct_move,pct_of_measured_move,height_pct_of_price
CHEMICAL,AGL,2640,2720,symmetrical,sequential,10,False,-4.889975550122243,-146.3672249883181,3.3408951700167324
CHEMICAL,AGL,2640,2720,symmetrical,sequential,20,False,42.05378973105134,1258.758134899537,3.3408951700167324
CHEMICAL,AGL,2640,2720,symmetrical,sequential,30,False,44.25427872860637,1324.6233861442806,3.3408951700167324
CHEMICAL,AGL,2640,2720,symmetrical,sequential,60,False,66.25916870415648,1983.2758985917128,3.3408951700167324
CHEMICAL,AGL,2640,2720,symmetrical,sequential,90,False,30.073349633251844,900.1584336781576,3.3408951700167324
PHARMACEUTICALS,AGP,1840,1920,descending,up,10,False,9.358769476628035,281.68839973130366,3.3223836997033462
PHARMACEUTICALS,AGP,1840,1920,descending,up,20,False,6.052736715940873,182.18054454340472,3.3223836997033462
PHARMACEUTICALS,AGP,1840,1920,descending,up,30,False,21.274470635237712,640.3375575535509,3.3223836997033462
PHARMACEUTICALS,AGP,1840,1920,descending,up,60,False,-10.132840591290462,-304.9870667314921,3.3223836997033462
PHARMACEUTICALS,AGP,1840,1920,descending,up,90,False,-8.564722333200162,-257.7884768085306,3.3223836997033462
AUTOMOBILE ASSEMBLER,AGTL,1640,1720,descending,up,10,False,2.5081340889853254,41.4024656793717,6.057934105685338
AUTOMOBILE ASSEMBLER,AGTL,1640,1720,descending,up,20,False,6.473070854541385,106.85277755772292,6.057934105685338
AUTOMOBILE ASSEMBLER,AGTL,1640,1720,descending,up,30,False,1.572623422098542,25.95973139791407,6.057934105685338
AUTOMOBILE ASSEMBLER,AGTL,1640,1720,descending,up,60,False,0.34752800645597387,5.736741278348021,6.057934105685338
AUTOMOBILE ASSEMBLER,AGTL,1640,1720,descending,up,90,False,-6.446302516421092,-106.41090516932614,6.057934105685338
AUTOMOBILE ASSEMBLER,AGTL,3680,3760,descending,sequential,10,False,0.419576315943902,11.733206786913748,3.575973078492598
AUTOMOBILE ASSEMBLER,AGTL,3680,3760,descending,sequential,20,False,-5.284314300803941,-147.7727651974234,3.575973078492598
AUTOMOBILE ASSEMBLER,AGTL,3680,3760,descending,sequential,30,False,-2.8343407077049543,-79.26068360950109,3.575973078492598
