
SYMBOL	NAME	LDCP	CURRENT	CHANGE	CHANGE (%)	IDX WTG (%)	IDX POINT	VOLUME	SHARES (M)	MARKET CAP (M)
DWTMNC	Dewan Textile Mills Limited	9.84	9.76	 -0.08	 -0.81%	0.00%	-0.02	16,339	46	450
AGIC	Askari General Insurance Company Limited	41.94	41.94	0.00	0.00%	0.02%	0.00	16,127	101	4,222
KHTC	Khyber Tobacco Company Limited	315.52	315.70	 0.18	 0.06%	0.01%	0.01	15,982	7	2,185
CLCPS	Chenab Limited (Pref)	3.84	3.80	 -0.04	 -1.04%	0.00%	-0.02	15,792	80	304
STYLERS	Stylers International Limited	48.78	47.59	 -1.19	 -2.44%	0.12%	-3.16	15,443	489	23,263
JGICL	Jubilee General Insurance Company Ltd.	78.95	79.14	 0.19	 0.24%	0.08%	0.21	15,042	198	15,709
TPLI	TPL Insurance Limited	25.93	25.02	 -0.91	 -3.51%	0.03%	-0.98	14,504	199	4,970
PKGI	The Pakistan General Insurance Co. Ltd.	18.03	18.00	 -0.03	 -0.17%	0.00%	-0.01	14,401	50	900
MACTER	Macter International Limited	266.88	270.10	 3.22	 1.21%	0.06%	0.80	14,028	46	12,374
BERG	Berger Paints Pakistan Limited	96.49	96.28	 -0.21	 -0.22%	0.01%	-0.03	13,386	25	2,364
SHFA	Shifa International Hospitals Limited	475.79	481.15	 5.36	 1.13%	0.16%	1.84	13,076	63	30,416
SCBPL	Standard Chartered Bank (Pak) Ltd	65.40	65.18	 -0.22	 -0.34%	1.32%	-4.63	12,954	3,872	252,350
NAGC	Nagina Cotton Mills Limited	77.45	76.06	 -1.39	 -1.80%	0.01%	-0.14	12,949	19	1,422
SINDM	Sindh Modaraba	23.53	23.32	 -0.21	 -0.89%	0.01%	-0.05	11,624	45	1,049
SERT	Service Industries Textiles Limited	35.21	35.39	 0.18	 0.51%	0.00%	0.01	11,357	14	488
BOK	The Bank of Khyber	32.62	32.80	 0.18	 0.55%	0.20%	1.13	10,910	1,158	37,984
HICL	Habib Insurance Company Limited	10.61	10.51	 -0.10	 -0.94%	0.01%	-0.07	10,808	124	1,302
BFMOD	B.F. Modaraba	22.68	22.66	 -0.02	 -0.09%	0.00%	0.00	10,751	8	170
OLPM	OLP Modaraba	24.00	24.00	0.00	0.00%	0.01%	0.00	10,634	45	1,089
AMBL	Apna Microfinance Bank Limited	23.31	23.52	 0.21	 0.90%	0.05%	0.49	10,472	429	10,090
EPCLPS	Engro Poly(Pref)	12.25	12.25	0.00	0.00%	0.02%	0.00	10,191	300	3,675
SSOM	S.S.Oil Mills Limited	410.66	410.57	 -0.09	 -0.02%	0.01%	0.00	9,713	6	2,323
ATLH	Atlas Honda Limited	1,784.86	1,795.82	 10.96	 0.61%	1.17%	7.39	9,700	124	222,840
FPRM	First Paramount Modaraba	14.01	13.65	 -0.36	 -2.57%	0.00%	-0.03	9,684	14	188
POML	Punjab Oil Mills Limited	150.49	155.87	 5.38	 3.57%	0.01%	0.23	9,674	8	1,210
GRYL	Grays Leasing Limited	21.81	21.25	 -0.56	 -2.57%	0.00%	-0.07	9,435	22	457
JATM	J.A. Textile Mills Limited	26.65	25.31	 -1.34	 -5.03%	0.00%	-0.09	8,740	13	319
ARPL	Archroma Pakistan Limited	385.21	385.15	 -0.06	 -0.02%	0.07%	-0.01	8,562	35	13,312
PRWM	Prosperity Weaving Mills Limited	63.24	61.49	 -1.75	 -2.77%	0.01%	-0.18	8,472	18	1,136
QUETNC	Quetta Textile Mills Limited	15.37	15.26	 -0.11	 -0.72%	0.00%	-0.01	8,302	13	198
KSTMNC	Khalid Siraj Textile Mills Limited	12.42	12.45	 0.03	 0.24%	0.00%	0.00	8,234	11	133
ARUJNC	Aruj Industries Limited	11.47	11.34	 -0.13	 -1.13%	0.00%	-0.01	7,796	10	119
ASHT	Ashfaq Textile Mills Limited	35.39	34.11	 -1.28	 -3.62%	0.01%	-0.32	7,796	47	1,588
