symbol,date,close_before,close_after,pct_change,peer_avg_change,magnitude_category,likely_action,peers_used,sector,review_status
KOHP,2011-03-24,3.41,2.51,-26.39,-1.96,DROP_25,Bonus 1:3,7,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2011-03-29,3.25,3.0,-7.69,1.7,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2011-04-19,3.4,3.1,-8.82,-1.05,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2011-05-19,3.05,2.75,-9.84,0.52,DROP_OTHER,Rights/Dividend,6,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2011-05-26,3.2,2.93,-8.44,0.76,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2011-06-13,3.25,3.0,-7.69,-0.91,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2011-06-28,2.8,2.51,-10.36,-0.91,DROP_OTHER,Rights/Dividend,7,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2011-08-03,3.15,2.8,-11.11,-1.74,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2011-09-12,2.75,2.54,-7.64,-1.4,DROP_OTHER,Rights/Dividend,7,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2011-09-30,2.4,2.12,-11.67,2.33,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2011-10-07,2.48,2.07,-16.53,-1.1,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2011-10-31,2.01,1.75,-12.94,2.04,DROP_OTHER,Rights/Dividend,7,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2011-11-15,1.9,1.75,-7.89,1.99,DROP_OTHER,Rights/Dividend,9,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2011-11-28,1.75,1.6,-8.57,-1.1,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2011-12-08,2.31,1.51,-34.63,-0.37,DROP_33,Bonus 1:2,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-01-20,2.0,1.51,-24.5,4.37,DROP_25,Bonus 1:3,9,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-02-07,1.8,1.56,-13.33,0.14,DROP_OTHER,Rights/Dividend,9,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-02-28,2.27,2.0,-11.89,-0.54,DROP_OTHER,Rights/Dividend,9,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-03-01,2.0,1.8,-10.0,-0.6,DROP_OTHER,Rights/Dividend,9,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-03-13,2.5,2.26,-9.6,-1.43,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-03-19,3.09,2.57,-16.83,-4.03,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-04-02,3.2,2.81,-12.19,-1.77,DROP_OTHER,Rights/Dividend,9,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-04-13,2.94,2.7,-8.16,0.05,DROP_OTHER,Rights/Dividend,9,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-04-20,2.85,2.55,-10.53,-0.14,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-05-02,3.1,2.42,-21.94,0.88,DROP_OTHER,Rights/Dividend,9,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-05-09,2.4,2.15,-10.42,-0.6,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-05-11,2.36,2.05,-13.14,-0.35,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-05-22,2.2,2.0,-9.09,3.25,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-05-31,2.2,2.0,-9.09,0.03,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-06-11,2.2,2.0,-9.09,-0.37,DROP_OTHER,Rights/Dividend,7,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-06-12,2.0,1.73,-13.5,2.02,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-06-20,2.29,1.93,-15.72,0.72,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-06-29,1.99,1.83,-8.04,-0.06,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-07-25,2.37,1.76,-25.74,0.57,DROP_25,Bonus 1:3,6,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-09-20,3.34,3.05,-8.68,-0.94,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-09-24,3.05,2.66,-12.79,-0.1,DROP_OTHER,Rights/Dividend,9,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-10-02,3.04,2.7,-11.18,-0.0,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-10-16,2.64,2.31,-12.5,0.8,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-10-25,2.42,2.19,-9.5,1.82,DROP_OTHER,Rights/Dividend,9,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2012-11-29,3.46,3.09,-10.69,-0.58,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2013-01-29,3.4,3.1,-8.82,0.29,DROP_OTHER,Rights/Dividend,9,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2013-04-19,2.92,2.65,-9.25,1.0,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2013-04-29,3.18,2.9,-8.81,-1.35,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2013-05-14,3.94,3.57,-9.39,0.72,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2013-06-10,5.57,5.01,-10.05,-2.47,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2013-07-10,5.0,4.34,-13.2,1.12,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2013-07-18,4.5,4.11,-8.67,0.21,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2013-08-19,4.18,3.84,-8.13,-0.38,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2013-08-28,3.89,3.5,-10.03,-2.32,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2013-08-30,3.5,3.15,-10.0,1.9,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2013-10-01,2.99,2.71,-9.36,-0.41,DROP_OTHER,Rights/Dividend,9,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2013-10-25,2.85,2.51,-11.93,-0.97,DROP_OTHER,Rights/Dividend,9,POWER GENERATION & DISTRIBUTION,PENDING
