sector,symbol,start,end,kind,outcome,direction,breakout_idx,type_trigger,entry_price,lfd_level,r_lfd_denom,rolling_status,rolling_stop,r_rolling_denom,lfd_hit_bar,rolling_hit_bar,anchor_bar,simultaneous_hit,horizon_reached,realized_R_lfd,realized_R_rolling
TEXTILE COMPOSITE,BHAT,1160,1240,descending,up,up,1250,2.0,899.09,799.99,99.10000000000002,no_valid_consolidation,,,1333.0,,1333,False,False,-1.0,
TEXTILE COMPOSITE,BHAT,1240,1320,symmetrical,down,down,1321,1.0,899.54,927.7,28.160000000000082,skipped_risk_gt_6pct,956.37,,1348.0,,1348,False,False,-1.0,
COMMERCIAL BANKS,BIPL,2240,2320,symmetrical,sequential,down,2327,4.0,10.0,10.4,0.40000000000000036,skipped_risk_gt_6pct,10.81,,2336.0,,2336,False,False,-1.0,
COMMERCIAL BANKS,BIPL,3920,4000,descending,up,up,4001,4.0,13.53,13.5,0.02999999999999936,no_valid_consolidation,,,4002.0,,4002,False,False,-1.0,
FOOD & PERSONAL CARE PRODUCTS,BNL,1280,1360,descending,whipsaw,down,1361,4.0,13.19,13.72,0.5300000000000011,skipped_risk_gt_6pct,14.34,,1362.0,,1362,False,False,-1.0,
COMMERCIAL BANKS,BOK,440,520,descending,down,down,530,3.0,13.6,14.0,0.40000000000000036,skipped_risk_gt_6pct,15.0,,552.0,,552,False,False,-1.0,
COMMERCIAL BANKS,BOK,3680,3760,ascending,down,down,3773,4.0,15.0,15.45,0.4499999999999993,ok,15.76,0.7599999999999998,3778.0,,3778,False,False,-1.0,-0.7894736842105261
COMMERCIAL BANKS,BOK,4280,4360,ascending,sequential,up,4363,4.0,15.31,13.15,2.16,no_valid_consolidation,,,4370.0,,4370,False,False,-1.0,
COMMERCIAL BANKS,BOK,4600,4680,symmetrical,up,up,4702,4.0,33.6,32.5,1.1000000000000014,ok,32.17,1.4299999999999997,4704.0,4704.0,4704,True,False,-1.0,-1.0
OIL & GAS MARKETING COMPANIES,BPL,720,800,descending,down,down,802,2.0,31.5,32.92,1.4200000000000017,ok,33.3,1.7999999999999972,,,892,False,True,6.239436619718302,4.92222222222223
CEMENT,BWCL,1000,1080,symmetrical,whipsaw,down,1081,4.0,119.23,125.0,5.769999999999996,skipped_risk_gt_6pct,127.16,,1085.0,,1085,False,False,-1.0,
AUTOMOBILE PARTS & ACCESSORIES,BWHL,0,80,descending,up,up,81,4.0,30.575,29.0463,1.5287000000000006,skipped_risk_gt_6pct,27.77,,82.0,,82,False,False,-1.0,
AUTOMOBILE PARTS & ACCESSORIES,BWHL,1400,1480,ascending,up,up,1492,1.0,48.9582,45.9466,3.0116000000000014,skipped_risk_gt_6pct,45.4,,,,1582,False,True,5.317339620135476,
AUTOMOBILE PARTS & ACCESSORIES,BWHL,2280,2360,symmetrical,sequential,down,2373,4.0,74.0,80.0,6.0,skipped_risk_gt_6pct,82.31,,2377.0,,2377,False,False,-1.0,
INSURANCE,CENI,3480,3560,symmetrical,up,up,3595,3.0,26.49,25.0,1.4899999999999984,skipped_risk_gt_6pct,24.02,,,,3685,False,True,7.7449664429530305,
PAPER & BOARD,CEPB,840,920,descending,down,down,921,4.0,13.79,14.15,0.3600000000000012,skipped_risk_gt_6pct,15.15,,943.0,,943,False,False,-1.0,
PAPER & BOARD,CEPB,1080,1160,ascending,sequential,down,1179,4.0,16.0,16.25,0.25,skipped_risk_gt_6pct,17.07,,1185.0,,1185,False,False,-1.0,
PAPER & BOARD,CEPB,2200,2280,ascending,sequential,down,2284,4.0,51.52,53.58,2.059999999999995,skipped_risk_gt_6pct,56.05,,2286.0,,2286,False,False,-1.0,
PAPER & BOARD,CEPB,2520,2600,ascending,sequential,up,2601,4.0,53.47,52.8,0.6700000000000017,ok,51.98,1.490000000000002,2604.0,2606.0,2604,False,False,-1.0,0.18791946308724883
TEXTILE COMPOSITE,CHBL,360,440,descending,up,up,441,1.0,10.85,9.9,0.9499999999999993,skipped_risk_gt_6pct,9.8,,,,531,False,True,0.6842105263157904,
TEXTILE COMPOSITE,CHBL,1560,1640,symmetrical,sequential,down,1659,4.0,1.51,1.8,0.29000000000000004,no_valid_consolidation,,,1662.0,,1662,False,False,-1.0,
CEMENT,CHCC,1120,1200,symmetrical,sequential,up,1201,4.0,10.3699,10.2683,0.10159999999999947,no_valid_consolidation,,,1202.0,,1202,False,False,-1.0,
CEMENT,CHCC,1560,1640,descending,sequential,down,1642,3.0,5.3047,5.6385,0.3337999999999992,skipped_risk_gt_6pct,5.85,,1660.0,,1660,False,False,-1.0,
CEMENT,CHCC,2280,2360,symmetrical,up,up,2361,1.0,58.85,58.04,0.8100000000000023,ok,56.68,2.1700000000000017,2376.0,,2376,False,False,-1.0,0.11981566820276397
FOOD & PERSONAL CARE PRODUCTS,CLOV,1480,1560,descending,up,up,1561,1.0,91.0,84.45,6.549999999999997,skipped_risk_gt_6pct,79.2,,,,1651,False,True,4.995419847328246,
REFINERY,CNERGY,2840,2920,descending,sequential,up,2937,4.0,24.29,23.36,0.9299999999999997,ok,22.96,1.3299999999999983,2944.0,2944.0,2944,True,False,-1.0,-1.0
PAPER & BOARD,CPPL,3160,3240,symmetrical,up,up,3246,2.0,168.95,160.1,8.849999999999994,skipped_risk_gt_6pct,153.45,,3291.0,,3291,False,False,-1.0,
PAPER & BOARD,CPPL,4480,4560,ascending,down,down,4561,2.0,124.0,126.9,2.9000000000000057,ok,128.17,4.1699999999999875,,,4651,False,True,7.468965517241363,5.1942446043165615
TEXTILE COMPOSITE,CRTM,2240,2320,descending,sequential,down,2326,3.0,27.5,28.49,0.9899999999999984,skipped_risk_gt_6pct,30.55,,2339.0,,2339,False,False,-1.0,
TEXTILE COMPOSITE,CRTM,3560,3640,descending,up,up,3641,1.0,18.68,18.0,0.6799999999999997,skipped_risk_gt_6pct,17.18,,3649.0,,3649,False,False,-1.0,
