sector,symbol,start,end,kind,outcome,type,boundary_touched,boundary_breached,lfd_touched
COMMERCIAL BANKS,JSBL,160,240,symmetrical,sequential,4,True,True,True
COMMERCIAL BANKS,JSBL,1200,1280,symmetrical,up,4,True,True,True
COMMERCIAL BANKS,JSBL,1600,1680,symmetrical,sequential,4,True,True,True
COMMERCIAL BANKS,JSBL,3240,3320,descending,sequential,4,True,True,True
COMMERCIAL BANKS,JSBL,3360,3440,ascending,down,4,True,True,True
TEXTILE COMPOSITE,JUBS,560,640,ascending,sequential,4,True,True,True
PROPERTY,JVDC,1120,1200,symmetrical,up,1,False,False,False
PROPERTY,JVDC,1960,2040,symmetrical,up,4,False,False,True
POWER GENERATION & DISTRIBUTION,KAPCO,1680,1760,symmetrical,up,4,True,False,True
POWER GENERATION & DISTRIBUTION,KAPCO,2440,2520,ascending,sequential,4,True,True,True
POWER GENERATION & DISTRIBUTION,KAPCO,2480,2560,ascending,sequential,4,True,True,True
POWER GENERATION & DISTRIBUTION,KAPCO,3920,4000,symmetrical,sequential,4,True,True,True
POWER GENERATION & DISTRIBUTION,KAPCO,4200,4280,descending,up,1,False,False,False
POWER GENERATION & DISTRIBUTION,KAPCO,5160,5240,descending,up,4,False,False,True
POWER GENERATION & DISTRIBUTION,KEL,3160,3240,ascending,sequential,4,True,True,True
TEXTILE COMPOSITE,KML,1280,1360,descending,sequential,4,True,True,True
CEMENT,KOHC,2120,2200,ascending,sequential,3,True,True,False
CEMENT,KOHC,3800,3880,symmetrical,whipsaw,4,True,True,True
CEMENT,KOHC,4240,4320,ascending,down,4,True,True,True
CEMENT,KOHC,4840,4920,ascending,down,4,True,True,True
POWER GENERATION & DISTRIBUTION,KOHE,2440,2520,ascending,up,4,True,False,True
POWER GENERATION & DISTRIBUTION,KOHP,3560,3640,ascending,down,3,True,True,False
TEXTILE COMPOSITE,KOIL,1720,1800,descending,sequential,4,True,True,True
TEXTILE COMPOSITE,KOIL,3760,3840,descending,whipsaw,4,True,True,True
TEXTILE COMPOSITE,KOIL,3960,4040,symmetrical,up,4,True,True,True
TEXTILE COMPOSITE,KTML,2200,2280,descending,sequential,4,True,True,True
AUTOMOBILE PARTS & ACCESSORIES,LOADS,1120,1200,symmetrical,down,4,True,True,True
AUTOMOBILE PARTS & ACCESSORIES,LOADS,2200,2280,symmetrical,down,1,False,False,False
CHEMICAL,LOTCHEM,1000,1080,descending,up,1,False,False,False
CHEMICAL,LOTCHEM,1720,1800,symmetrical,down,1,False,False,False
CHEMICAL,LOTCHEM,4400,4480,descending,up,4,True,True,True
CHEMICAL,LPGL,1640,1720,symmetrical,down,4,True,False,True
POWER GENERATION & DISTRIBUTION,LPL,80,160,descending,down,4,True,True,True
POWER GENERATION & DISTRIBUTION,LPL,120,200,descending,down,4,True,False,True
POWER GENERATION & DISTRIBUTION,LPL,400,480,ascending,down,1,False,False,False
POWER GENERATION & DISTRIBUTION,LPL,720,800,descending,up,1,False,False,False
CEMENT,LUCK,2040,2120,descending,up,1,False,False,False
MISCELLANEOUS,MACFL,560,640,descending,down,4,True,True,True
MISCELLANEOUS,MACFL,3800,3880,descending,up,4,True,True,True
PHARMACEUTICALS,MACTER,360,440,symmetrical,sequential,4,True,True,True
PHARMACEUTICALS,MACTER,1000,1080,symmetrical,down,4,True,True,True
OIL & GAS EXPLORATION COMPANIES,MARI,680,760,symmetrical,whipsaw,4,True,True,True
COMMERCIAL BANKS,MCB,1280,1360,ascending,up,4,True,False,True
COMMERCIAL BANKS,MCB,1800,1880,symmetrical,up,4,True,False,True
COMMERCIAL BANKS,MCB,2080,2160,ascending,whipsaw,4,True,True,True
COMMERCIAL BANKS,MCB,2120,2200,ascending,down,4,False,False,True
COMMERCIAL BANKS,MCB,3080,3160,symmetrical,up,1,False,False,False
COMMERCIAL BANKS,MCB,4120,4200,ascending,down,4,False,False,True
COMMERCIAL BANKS,MEBL,1000,1080,descending,up,4,True,True,True
COMMERCIAL BANKS,MEBL,1560,1640,ascending,sequential,4,True,True,True
COMMERCIAL BANKS,MEBL,2080,2160,ascending,down,4,True,False,True
COMMERCIAL BANKS,MEBL,2280,2360,descending,up,4,False,False,True
COMMERCIAL BANKS,MEBL,4800,4880,symmetrical,up,4,True,False,True
PAPER & BOARD,MERIT,720,800,symmetrical,down,2,True,False,False
PAPER & BOARD,MERIT,1400,1480,ascending,down,4,True,True,True
PAPER & BOARD,MERIT,4240,4320,ascending,down,2,True,False,False
PAPER & BOARD,MERIT,4280,4360,descending,down,2,True,False,False
FOOD & PERSONAL CARE PRODUCTS,MFFL,2040,2120,ascending,down,4,True,True,True
FOOD & PERSONAL CARE PRODUCTS,MFL,520,600,symmetrical,up,4,True,False,True
FOOD & PERSONAL CARE PRODUCTS,MFL,1240,1320,descending,up,4,False,False,True
CEMENT,MLCF,1360,1440,symmetrical,down,1,False,False,False
CEMENT,MLCF,2560,2640,symmetrical,down,4,True,False,True
CEMENT,MLCF,4080,4160,ascending,down,4,True,True,True
ENGINEERING,MSCL,1520,1600,descending,whipsaw,4,True,True,True
TEXTILE COMPOSITE,MSOT,840,920,symmetrical,whipsaw,4,True,True,True
TEXTILE COMPOSITE,MSOT,960,1040,descending,up,1,False,False,False
AUTOMOBILE ASSEMBLER,MTL,200,280,symmetrical,up,1,False,False,False
AUTOMOBILE ASSEMBLER,MTL,1560,1640,descending,up,1,False,False,False
AUTOMOBILE ASSEMBLER,MTL,3360,3440,symmetrical,sequential,4,True,True,True
AUTOMOBILE ASSEMBLER,MTL,4160,4240,ascending,down,4,True,True,True
AUTOMOBILE ASSEMBLER,MTL,5040,5120,ascending,sequential,4,True,True,True
ENGINEERING,MUGHAL,1120,1200,ascending,sequential,4,True,True,True
FOOD & PERSONAL CARE PRODUCTS,MUREB,2600,2680,ascending,sequential,4,True,True,True
FOOD & PERSONAL CARE PRODUCTS,MUREB,2800,2880,ascending,up,4,True,True,True
FOOD & PERSONAL CARE PRODUCTS,MUREB,3120,3200,descending,up,3,True,True,False
MISCELLANEOUS,MWMP,760,840,symmetrical,up,4,True,True,True
FOOD & PERSONAL CARE PRODUCTS,NATF,680,760,descending,down,4,True,False,True
FOOD & PERSONAL CARE PRODUCTS,NATF,1120,1200,symmetrical,up,4,True,True,True
FOOD & PERSONAL CARE PRODUCTS,NATF,2000,2080,descending,whipsaw,4,True,True,True
FOOD & PERSONAL CARE PRODUCTS,NATF,3440,3520,descending,down,4,False,False,True
COMMERCIAL BANKS,NBP,1320,1400,symmetrical,up,2,True,False,False
COMMERCIAL BANKS,NBP,1760,1840,descending,down,4,True,False,True
COMMERCIAL BANKS,NBP,3160,3240,ascending,sequential,4,True,True,True
COMMERCIAL BANKS,NBP,4840,4920,descending,up,1,False,False,False
TEXTILE COMPOSITE,NCL,360,440,symmetrical,down,4,True,False,True
TEXTILE COMPOSITE,NCL,1280,1360,symmetrical,whipsaw,4,True,False,True
TEXTILE COMPOSITE,NCL,2640,2720,descending,up,2,True,False,False
TEXTILE COMPOSITE,NCL,3360,3440,symmetrical,down,2,True,False,False
POWER GENERATION & DISTRIBUTION,NCPL,0,80,symmetrical,down,4,True,True,True
POWER GENERATION & DISTRIBUTION,NCPL,1240,1320,ascending,whipsaw,4,True,True,True
FOOD & PERSONAL CARE PRODUCTS,NESTLE,2720,2800,ascending,up,2,True,False,False
TECHNOLOGY & COMMUNICATION,NETSOL,1200,1280,ascending,up,4,False,False,True
CHEMICAL,NICL,2480,2560,ascending,up,4,False,False,True
