sector,symbol,start,end,kind,outcome,direction,breakout_idx,type_trigger,entry_price,lfd_level,r_lfd_denom,rolling_status,rolling_stop,r_rolling_denom,opposite_stop,r_opposite_denom,lfd_hit_bar,rolling_hit_bar,opposite_hit_bar,anchor_bar,simultaneous_hit,horizon_reached,realized_R_lfd,realized_R_rolling,realized_R_opposite
INSURANCE,PKGI,1320,1400,descending,sequential,down,1402,3.0,1.2685,1.4185,0.15000000000000013,skipped_risk_gt_6pct,1.43,,1.415187933153109,0.14668793315310902,1411.0,,1411.0,1411,True,False,-1.0,,-1.0
POWER GENERATION & DISTRIBUTION,PKGP,1440,1520,ascending,up,up,1521,4.0,14.6209,13.7536,0.8673000000000002,no_valid_consolidation,,,12.665617501251878,1.9552824987481223,1523.0,,1546.0,1523,False,False,-1.0,,-0.5329664642665243
POWER GENERATION & DISTRIBUTION,PKGP,1960,2040,symmetrical,up,up,2041,1.0,11.1323,10.5822,0.5501000000000005,skipped_risk_gt_6pct,10.27,,7.7529914556652635,3.3793085443347373,2085.0,,2116.0,2085,False,False,-1.0,,-0.17811336020472576
POWER GENERATION & DISTRIBUTION,PKGP,2960,3040,descending,up,up,3051,4.0,51.63,50.01,1.6200000000000045,ok,49.5,2.1300000000000026,47.50406779661017,4.12593220338983,3053.0,,,3053,False,False,-1.0,-0.7652582159624416,-0.39506223555026154
POWER GENERATION & DISTRIBUTION,PKGP,3080,3160,ascending,sequential,down,3161,4.0,80.95,86.99,6.039999999999992,no_valid_consolidation,,,95.01484100164629,14.064841001646286,3163.0,,3164.0,3163,False,False,-1.0,,-0.5801700850400563
PAPER & BOARD,PKGS,1000,1080,ascending,sequential,up,1092,4.0,175.78,166.5,9.280000000000001,skipped_risk_gt_6pct,155.43,,157.4595313921747,18.32046860782529,1098.0,,1099.0,1098,False,False,-1.0,,-0.8198480247161616
PAPER & BOARD,PKGS,1320,1400,symmetrical,up,up,1401,4.0,132.55,129.0,3.5500000000000114,skipped_risk_gt_6pct,121.87,,106.01430224642615,26.535697753573857,1404.0,,1436.0,1404,False,False,-1.0,,-0.14772552945106054
PAPER & BOARD,PKGS,3480,3560,symmetrical,up,up,3570,1.0,306.76,288.0,18.75999999999999,skipped_risk_gt_6pct,279.18,,283.65970653377633,23.10029346622366,,,,3660,False,True,0.24626865671641826,,0.19999745919917367
PAPER & BOARD,PKGS,4040,4120,symmetrical,down,down,4130,4.0,472.19,479.98,7.7900000000000205,ok,489.69,17.5,483.9556207871274,11.765620787127375,4131.0,,,4131,False,False,-1.0,-0.4102857142857147,-0.6102525425479937
TRANSPORT,PNSC,920,1000,symmetrical,sequential,down,1001,4.0,25.5076,26.986,1.4784000000000006,skipped_risk_gt_6pct,27.64,,27.2774393939394,1.7698393939393995,1004.0,,1004.0,1004,True,False,-1.0,,-1.0
TRANSPORT,PNSC,1240,1320,descending,sequential,up,1326,4.0,26.2629,24.5327,1.7302,skipped_risk_gt_6pct,23.68,,24.105522500000003,2.1573774999999955,1332.0,,1336.0,1332,False,False,-1.0,,-0.8019922336262446
TRANSPORT,PNSC,1280,1360,descending,sequential,down,1361,4.0,22.6411,23.1705,0.529399999999999,ok,23.81,1.1688999999999972,24.92880257561436,2.2877025756143574,1379.0,1380.0,1381.0,1379,False,False,-1.0,-0.6462486098040893,-0.33020026643854133
TRANSPORT,PNSC,4640,4720,ascending,up,up,4746,1.0,225.7073,206.5912,19.116100000000017,skipped_risk_gt_6pct,201.33,,201.86154343615794,23.84575656384206,,,,4836,False,True,10.853296435988502,,8.700613018695169
OIL & GAS EXPLORATION COMPANIES,POL,360,440,symmetrical,up,up,446,2.0,354.6,331.9,22.700000000000045,skipped_risk_gt_6pct,322.74,,327.3752559726962,27.224744027303814,532.0,,532.0,532,True,False,-1.0,,-1.0
OIL & GAS EXPLORATION COMPANIES,POL,400,480,ascending,sequential,down,493,4.0,344.75,353.0,8.25,ok,359.61,14.860000000000014,359.6517649530747,14.90176495307469,495.0,511.0,511.0,495,False,False,-1.0,-0.29609690444145176,-0.2952670380894796
OIL & GAS EXPLORATION COMPANIES,POL,1640,1720,ascending,sequential,up,1721,3.0,379.17,374.25,4.920000000000016,ok,366.3,12.870000000000005,363.84922010398606,15.32077989601396,1730.0,1731.0,1733.0,1730,False,False,-1.0,-0.760683760683762,-0.6390014128815404
