symbol,start,end,outcome,breakout_idx_used,breakout_date,date_convention
HALEON,0,80,up,84,2023-06-05,breakout_idx
HASCOL,2600,2680,sequential,2685,2025-03-19,breakout_idx (first chronological)
HBL,2040,2120,up,2123,2016-04-27,breakout_idx
HBL,3200,3280,sequential,3288,2021-01-08,breakout_idx (first chronological)
HBL,3800,3880,sequential,3885,2023-06-08,breakout_idx (first chronological)
HINO,1840,1920,up,1935,2015-05-04,breakout_idx
HINOON,680,760,down,762,2008-03-24,breakout_idx
HMB,880,960,up,966,2009-04-24,breakout_idx
HMB,1080,1160,down,1175,2010-03-01,breakout_idx
HMB,4200,4280,up,4292,2022-12-09,breakout_idx
HMB,4960,5040,up,5045,2026-01-01,breakout_idx
HTL,1560,1640,down,1642,2022-10-20,breakout_idx
HUBC,1320,1400,up,1401,2010-11-23,breakout_idx
HUMNL,360,440,down,441,2008-06-13,breakout_idx
HUMNL,3640,3720,down,3725,2022-09-20,breakout_idx
IBLHL,360,440,up,441,2011-01-28,breakout_idx
IBLHL,3320,3400,down,3426,2023-05-18,breakout_idx
IBLHL,3920,4000,down,4002,2025-09-22,breakout_idx
IGIL,2120,2200,down,2203,2021-06-08,breakout_idx
IGIL,2640,2720,sequential,2730,2024-10-01,breakout_idx (first chronological)
ILP,800,880,down,881,2022-10-28,breakout_idx
INDU,3000,3080,down,3084,2017-12-08,breakout_idx
INDU,3360,3440,down,3441,2019-05-17,breakout_idx
ISIL,1680,1760,down,1761,2025-04-15,breakout_idx
ISL,2560,2640,sequential,2641,2022-02-25,breakout_idx (first chronological)
ISL,2840,2920,sequential,2932,2023-05-04,breakout_idx (first chronological)
ISL,3320,3400,sequential,3405,2025-04-07,breakout_idx (first chronological)
ITTEFAQ,120,200,down,201,2018-04-19,breakout_idx
JGICL,400,480,up,481,2007-07-17,breakout_idx
JGICL,1120,1200,up,1201,2011-03-09,breakout_idx
JGICL,3640,3720,sequential,3721,2026-01-01,breakout_idx (first chronological)
JLICL,720,800,sequential,801,2008-04-09,breakout_idx (first chronological)
JLICL,1560,1640,up,1641,2012-08-28,breakout_idx
JLICL,2160,2240,down,2241,2016-01-22,breakout_idx
JLICL,4200,4280,up,4281,2026-02-09,breakout_idx
JLICL,4280,4360,up,4361,2026-06-12,breakout_idx
JSBL,160,240,sequential,242,2008-03-04,breakout_idx (first chronological)
JSBL,1200,1280,up,1281,2012-07-25,breakout_idx
JSBL,1600,1680,sequential,1684,2014-03-18,breakout_idx (first chronological)
JSBL,3240,3320,sequential,3321,2021-01-19,breakout_idx (first chronological)
JSBL,3360,3440,down,3448,2021-07-30,breakout_idx
JUBS,560,640,sequential,641,2013-10-29,breakout_idx (first chronological)
JVDC,1120,1200,up,1201,2015-06-25,breakout_idx
JVDC,1960,2040,up,2041,2019-02-20,breakout_idx
KAPCO,1680,1760,up,1762,2012-05-29,breakout_idx
KAPCO,2440,2520,sequential,2532,2015-07-09,breakout_idx (first chronological)
KAPCO,2480,2560,sequential,2561,2015-08-25,breakout_idx (first chronological)
KAPCO,3920,4000,sequential,4001,2021-06-17,breakout_idx (first chronological)
KAPCO,4200,4280,up,4282,2022-08-05,breakout_idx
KAPCO,5160,5240,up,5241,2026-06-23,breakout_idx
KEL,3160,3240,sequential,3242,2018-03-28,breakout_idx (first chronological)
KML,1280,1360,sequential,1373,2013-07-25,breakout_idx (first chronological)
KOHC,2120,2200,sequential,2201,2014-04-25,breakout_idx (first chronological)
KOHC,3800,3880,whipsaw,3883,2021-02-09,breakout_idx (first chronological)
KOHC,4240,4320,down,4327,2022-11-28,breakout_idx
KOHC,4840,4920,down,4922,2025-04-28,breakout_idx
KOHE,2440,2520,up,2540,2016-08-03,breakout_idx
KOHP,3560,3640,down,3649,2022-10-11,breakout_idx
KOIL,1720,1800,sequential,1801,2013-07-29,breakout_idx (first chronological)
KOIL,3760,3840,whipsaw,3855,2022-02-24,breakout_idx (first chronological)
KOIL,3960,4040,up,4041,2022-12-07,breakout_idx
KTML,2200,2280,sequential,2281,2014-08-04,breakout_idx (first chronological)
LOADS,1120,1200,down,1201,2021-09-08,breakout_idx
LOADS,2200,2280,down,2288,2026-01-22,breakout_idx
LOTCHEM,1000,1080,up,1084,2009-08-04,breakout_idx
LOTCHEM,1720,1800,down,1801,2012-06-21,breakout_idx
LOTCHEM,4400,4480,up,4484,2023-04-26,breakout_idx
LPGL,1640,1720,down,1731,2025-10-06,breakout_idx
LPL,80,160,down,161,2014-04-15,breakout_idx
LPL,120,200,down,207,2014-06-19,breakout_idx
LPL,400,480,down,488,2015-08-19,breakout_idx
LPL,720,800,up,821,2016-12-28,breakout_idx
LUCK,2040,2120,up,2121,2013-10-28,breakout_idx
MACFL,560,640,down,641,2007-11-07,breakout_idx
MACFL,3800,3880,up,3881,2022-08-16,breakout_idx
