symbol,date,support_source,support_level,touch_depth_pct,lower_wick_ratio,close_position,recovery_ratio,body_ratio,volume_ma_ratio,trend_state,return_5d,return_10d,return_20d,max_favorable,max_adverse
LOTCHEM,2023-06-01,pivot,26.91,3.32,0.724,0.724,0.724,0.195,0.11,uptrend,0.0635,0.0261,0.0407,0.1064,-0.1046
LOTCHEM,2023-07-10,pivot,27.93,2.94,0.818,0.818,0.818,0.102,0.76,uptrend,-0.0084,-0.0305,-0.0162,0.0618,-0.0344
LPL,2020-05-11,pivot,10.61,0.53,0.9,0.94,0.94,0.04,0.17,uptrend,-0.0317,0.0941,0.0661,0.1656,-0.0443
LPL,2020-05-14,pivot,10.8,2.22,0.792,0.792,0.792,0.0,0.05,uptrend,0.1009,0.1343,0.038,0.1926,-0.0139
LPL,2021-06-11,pivot,18.51,0.07,0.6,0.8,0.8,0.2,0.19,uptrend,-0.0379,-0.056,-0.0395,0.008,-0.0928
LPL,2022-11-01,pivot,13.1,0.0,0.875,0.875,0.875,0.125,0.58,uptrend,0.0935,0.0747,0.2157,0.2157,-0.0075
LPL,2023-02-15,pivot,15.79,1.54,1.0,1.0,1.0,0.0,0.04,uptrend,-0.0006,0.0209,0.007,0.0722,-0.0348
LPL,2023-04-04,pivot,15.89,1.8,0.618,0.865,0.865,0.247,0.94,uptrend,-0.1862,-0.2226,-0.1874,0.0036,-0.2292
LUCK,2020-08-13,pivot,603.38,1.26,0.774,0.774,0.774,0.007,1.02,uptrend,-0.0263,-0.0147,0.0706,0.0993,-0.0383
LUCK,2020-10-13,pivot,641.56,0.76,0.563,0.702,0.702,0.139,0.79,uptrend,-0.0019,0.061,0.0165,0.0855,-0.0321
LUCK,2020-10-29,pivot,669.95,2.08,0.708,0.708,0.708,0.292,2.37,uptrend,0.0042,-0.0298,-0.0461,0.0191,-0.0616
LUCK,2020-12-10,pivot,669.67,0.1,0.766,0.766,0.766,0.08,0.75,uptrend,0.0122,0.0358,0.0328,0.0577,-0.0155
LUCK,2021-04-02,pivot,806.94,0.24,0.713,0.832,0.832,0.119,0.18,uptrend,0.0478,0.0512,0.0233,0.0722,-0.022
LUCK,2021-06-02,pivot,932.86,1.88,0.76,0.76,0.76,0.24,0.58,uptrend,-0.0284,-0.032,-0.0824,-0.0043,-0.0882
LUCK,2021-11-09,pivot,764.4,2.15,0.741,0.747,0.747,0.006,2.05,uptrend,-0.0175,-0.0714,-0.1438,-0.0002,-0.1819
LUCK,2022-08-29,pivot,510.53,2.61,0.726,0.726,0.726,0.274,1.08,uptrend,0.0002,-0.0091,-0.0601,0.0242,-0.0909
LUCK,2022-10-21,pivot,510.72,0.51,0.706,0.706,0.706,0.16,0.28,uptrend,-0.0665,-0.0615,-0.0569,0.006,-0.0712
LUCK,2023-08-02,pivot,588.9,0.58,0.585,0.748,0.748,0.163,1.02,uptrend,0.0221,0.0484,-0.0582,0.0597,-0.0738
LUCK,2023-10-19,pivot,591.32,1.07,0.756,0.756,0.756,0.185,0.59,uptrend,0.0158,0.0952,0.1639,0.2377,-0.0061
LUCK,2023-12-14,pivot,797.3,0.04,0.721,0.877,0.877,0.156,0.28,uptrend,-0.0513,-0.0344,-0.0331,0.0097,-0.1043
MACFL,2020-05-14,pivot,12.63,3.03,0.747,0.805,0.805,0.058,1.78,uptrend,0.3611,0.1849,0.6925,0.7766,-0.0682
MACFL,2020-06-03,pivot,14.93,2.57,0.62,0.973,0.973,0.353,0.57,uptrend,0.3063,0.424,0.4118,0.4948,-0.0055
MACFL,2020-07-03,pivot,22.07,2.34,0.56,0.816,0.816,0.256,0.05,uptrend,0.0197,-0.0908,-0.1596,0.0434,-0.1846
MACFL,2020-07-07,pivot,22.28,0.37,0.8,0.8,0.8,0.124,0.12,uptrend,-0.0542,-0.1303,-0.1802,0.0232,-0.2017
MACFL,2022-04-28,pivot,18.77,1.42,0.74,0.74,0.74,0.26,0.06,uptrend,-0.1842,-0.1632,-0.2105,-0.0263,-0.2889
MACFL,2022-08-12,pivot,16.16,0.39,0.75,0.75,0.75,0.25,0.2,uptrend,-0.0242,-0.057,0.0152,0.0788,-0.0788
MACFL,2022-08-15,pivot,16.17,5.86,0.551,0.98,0.98,0.429,1.01,uptrend,-0.0413,-0.0204,0.0419,0.0665,-0.0893
MACFL,2022-09-22,pivot,15.66,4.23,0.71,0.935,0.935,0.226,0.97,uptrend,-0.003,-0.0876,-0.0574,0.0538,-0.1299
MACFL,2023-02-03,pivot,15.72,1.38,0.755,0.755,0.755,0.245,0.28,uptrend,0.01,0.0081,0.0131,0.0832,-0.0619
MACFL,2023-02-23,pivot,16.48,2.91,0.8,0.8,0.8,0.2,0.88,uptrend,-0.0303,-0.0303,-0.0485,0.0394,-0.0576
MACFL,2023-08-16,pivot,17.96,1.19,1.0,1.0,1.0,0.0,2.93,uptrend,-0.0433,-0.0417,-0.0667,0.0056,-0.0883
MACFL,2023-11-14,pivot,19.34,1.76,0.922,0.956,0.956,0.033,0.27,uptrend,-0.0085,0.0568,0.1884,0.2136,-0.0683
MACFL,2023-11-20,pivot,19.3,3.94,0.921,0.921,0.921,0.079,0.22,uptrend,0.0823,0.1111,0.1515,0.246,-0.0152
MACFL,2023-11-30,pivot,21.29,1.1,0.898,0.898,0.898,0.102,0.05,uptrend,0.1146,0.065,-0.026,0.1448,-0.0951
MACFL,2023-12-19,pivot,22.33,1.45,1.0,1.0,1.0,0.0,0.05,uptrend,-0.1231,-0.0667,-0.0893,-0.0178,-0.1333
MACFL,2023-12-20,pivot,22.17,3.04,0.882,0.882,0.882,0.098,0.11,uptrend,-0.0536,-0.0527,-0.1131,0.0041,-0.1368
MACFL,2023-12-21,pivot,21.63,0.51,0.828,0.879,0.879,0.052,0.07,uptrend,-0.0502,-0.0697,-0.095,-0.0271,-0.1403
MARI,2020-05-14,pivot,1146.05,0.0,0.593,0.773,0.773,0.18,0.73,uptrend,0.0239,0.0195,0.0168,0.0709,-0.0083
MARI,2020-06-09,pivot,1247.15,2.42,0.808,0.808,0.808,0.192,0.25,uptrend,-0.0288,-0.0048,-0.0045,,-0.063
MARI,2020-07-07,pivot,1246.71,0.14,0.652,0.838,0.838,0.186,1.94,uptrend,0.0203,0.049,0.064,0.0962,-0.0229
MARI,2020-08-05,pivot,1325.66,0.43,0.814,0.833,0.833,0.019,0.94,uptrend,-0.0046,-0.0111,0.0922,0.1033,-0.0243
MARI,2020-08-12,pivot,1336.96,0.22,0.741,0.741,0.741,0.259,0.67,uptrend,-0.0104,0.0384,0.0626,0.1077,-0.0236
MARI,2020-08-21,pivot,1324.95,0.22,0.588,0.737,0.737,0.149,2.35,uptrend,0.0337,0.1001,0.0713,0.111,-0.0175
MARI,2021-01-05,pivot,1360.05,0.45,0.888,0.929,0.929,0.04,0.51,uptrend,-0.0025,0.0512,0.0384,0.1216,-0.0232
MARI,2021-03-04,pivot,1558.72,2.48,0.767,0.767,0.767,0.007,0.43,uptrend,-0.0055,0.0081,-0.0085,0.0425,-0.0621
MARI,2021-05-19,pivot,1543.3,0.21,0.66,0.887,0.887,0.227,1.94,uptrend,-0.0347,-0.0368,-0.0425,-0.0037,-0.0641
MARI,2021-10-14,pivot,1736.29,0.36,0.7,0.815,0.815,0.116,0.79,uptrend,0.0046,-0.0394,-0.0402,0.0169,-0.0672
MARI,2021-10-15,pivot,1738.41,4.97,0.994,0.994,0.994,0.006,0.46,uptrend,0.046,-0.0044,0.0085,0.0588,-0.0288
MARI,2021-10-25,pivot,1755.53,0.31,0.866,0.939,0.939,0.073,0.09,uptrend,-0.0491,-0.0486,-0.0423,0.0084,-0.0725
MARI,2022-02-02,pivot,1708.67,2.38,0.846,1.0,1.0,0.154,0.68,uptrend,0.0104,0.0494,0.0532,0.0583,-0.0058
MARI,2022-03-02,pivot,1772.08,0.79,0.865,0.875,0.875,0.011,0.47,uptrend,-0.0085,-0.0313,-0.0142,0.0067,-0.0529
MARI,2022-03-03,pivot,1767.26,0.12,0.569,0.836,0.836,0.266,0.57,uptrend,-0.0165,-0.0449,-0.021,-0.0011,-0.0592
MARI,2022-03-04,pivot,1774.57,0.25,0.986,0.986,0.986,0.013,0.23,uptrend,-0.0213,-0.0445,-0.0239,0.0027,-0.0556
MARI,2022-03-30,pivot,1743.74,0.69,0.757,0.757,0.757,0.243,0.43,uptrend,-0.017,-0.0171,-0.0233,0.0136,-0.0395
MARI,2022-03-31,pivot,1738.22,1.05,0.8,0.99,0.99,0.191,1.11,uptrend,-0.0222,-0.0216,-0.0308,0.0136,-0.0401
MARI,2022-04-01,pivot,1736.35,0.36,0.872,0.872,0.872,0.128,1.32,uptrend,-0.0173,-0.0155,-0.0306,0.0108,-0.0912
MARI,2022-06-23,pivot,1711.25,0.07,0.697,0.71,0.71,0.013,2.77,uptrend,0.001,-0.0066,-0.0195,0.0443,-0.0357
MARI,2023-05-15,pivot,1536.35,0.22,0.584,0.775,0.775,0.191,0.58,uptrend,-0.0164,-0.0103,-0.0032,0.0634,-0.0265
MCB,2020-07-14,pivot,163.69,0.41,0.584,0.756,0.756,0.172,0.38,uptrend,-0.0016,0.0686,0.0936,0.1289,-0.0112
MCB,2020-09-14,pivot,176.09,0.05,0.705,0.88,0.88,0.175,0.59,uptrend,-0.0126,-0.0329,-0.0211,0.0037,-0.0563
MCB,2020-12-22,pivot,183.72,1.75,0.747,0.747,0.747,0.253,0.23,uptrend,-0.0069,0.0494,0.0455,0.0941,-0.0189
MCB,2021-01-14,pivot,198.09,0.05,0.795,0.795,0.795,0.205,0.63,uptrend,-0.0265,-0.0244,-0.0775,0.0012,-0.0851
MCB,2021-01-19,pivot,194.3,0.39,0.684,0.716,0.716,0.032,0.82,uptrend,-0.0002,-0.0137,-0.0388,0.0102,-0.0711
MCB,2021-08-26,pivot,165.05,0.02,0.724,0.759,0.759,0.035,0.61,uptrend,-0.0497,-0.0668,-0.0535,-0.0033,-0.0888
MCB,2022-01-27,pivot,160.62,0.01,0.82,0.82,0.82,0.144,0.92,uptrend,0.0117,-0.0066,-0.0194,0.0259,-0.0246
MCB,2022-02-04,pivot,162.87,0.51,0.727,0.727,0.727,0.273,0.17,uptrend,-0.0168,-0.0142,-0.0638,0.0103,-0.0644
MCB,2022-11-17,pivot,119.49,0.2,0.853,0.853,0.853,0.147,0.63,uptrend,-0.0031,-0.007,-0.0193,0.0025,-0.0271
MCB,2023-02-21,pivot,114.54,0.47,0.793,0.793,0.793,0.207,0.29,uptrend,0.0088,0.0187,-0.0116,0.0506,-0.0176
MCB,2023-03-01,pivot,116.07,1.35,0.625,0.832,0.832,0.207,11.62,uptrend,0.006,-0.0345,-0.0267,0.027,-0.0397
MCB,2023-03-03,pivot,116.84,0.62,0.691,0.965,0.965,0.275,0.48,uptrend,0.0066,-0.0446,-0.0429,0.0129,-0.0529
MCB,2023-03-10,pivot,118.68,0.36,0.566,0.828,0.828,0.262,0.4,uptrend,-0.0552,-0.0616,-0.047,0.0016,-0.0634
MCB,2023-08-08,pivot,143.11,0.08,0.837,0.837,0.837,0.025,0.68,uptrend,-0.0208,-0.0854,-0.1126,0.0204,-0.134
MCB,2023-08-16,pivot,142.32,0.92,0.755,0.755,0.755,0.245,0.26,uptrend,-0.0721,-0.0379,-0.1309,-0.0079,-0.1337
MCB,2023-10-09,pivot,135.57,0.19,0.591,0.913,0.913,0.322,0.18,uptrend,0.0358,0.0628,0.0292,0.1077,-0.0072
MCB,2023-10-16,pivot,140.6,1.14,0.83,0.83,0.83,0.088,0.84,uptrend,0.0189,0.0355,0.0539,0.0757,-0.0275
MCB,2023-11-16,pivot,148.28,0.36,0.56,0.951,0.951,0.391,0.83,uptrend,0.0247,0.1183,0.2362,0.3588,-0.0123
MCB,2023-12-26,pivot,165.86,2.33,0.648,0.8,0.8,0.152,0.85,uptrend,0.0499,0.0313,0.05,0.0691,-0.0271
