sector,symbol,start,end,kind,outcome,variant,type
TEXTILE COMPOSITE,BHAT,1160,1240,descending,up,fixed_10,2
TEXTILE COMPOSITE,BHAT,1160,1240,descending,up,trigger,2
TEXTILE COMPOSITE,BHAT,1240,1320,symmetrical,down,current,1
TEXTILE COMPOSITE,BHAT,1240,1320,symmetrical,down,fixed_5,1
TEXTILE COMPOSITE,BHAT,1240,1320,symmetrical,down,fixed_10,1
TEXTILE COMPOSITE,BHAT,1240,1320,symmetrical,down,trigger,1
COMMERCIAL BANKS,BIPL,2240,2320,symmetrical,sequential,current,4
COMMERCIAL BANKS,BIPL,2240,2320,symmetrical,sequential,fixed_5,3
COMMERCIAL BANKS,BIPL,2240,2320,symmetrical,sequential,fixed_10,4
COMMERCIAL BANKS,BIPL,2240,2320,symmetrical,sequential,trigger,4
COMMERCIAL BANKS,BIPL,3920,4000,descending,up,current,4
COMMERCIAL BANKS,BIPL,3920,4000,descending,up,fixed_5,4
COMMERCIAL BANKS,BIPL,3920,4000,descending,up,fixed_10,4
COMMERCIAL BANKS,BIPL,3920,4000,descending,up,trigger,4
FOOD & PERSONAL CARE PRODUCTS,BNL,1280,1360,descending,whipsaw,current,4
FOOD & PERSONAL CARE PRODUCTS,BNL,1280,1360,descending,whipsaw,fixed_5,4
FOOD & PERSONAL CARE PRODUCTS,BNL,1280,1360,descending,whipsaw,fixed_10,4
FOOD & PERSONAL CARE PRODUCTS,BNL,1280,1360,descending,whipsaw,trigger,4
COMMERCIAL BANKS,BOK,440,520,descending,down,current,4
COMMERCIAL BANKS,BOK,440,520,descending,down,fixed_5,3
COMMERCIAL BANKS,BOK,440,520,descending,down,fixed_10,3
COMMERCIAL BANKS,BOK,440,520,descending,down,trigger,3
COMMERCIAL BANKS,BOK,3680,3760,ascending,down,current,4
COMMERCIAL BANKS,BOK,3680,3760,ascending,down,fixed_5,4
COMMERCIAL BANKS,BOK,3680,3760,ascending,down,fixed_10,4
COMMERCIAL BANKS,BOK,3680,3760,ascending,down,trigger,4
COMMERCIAL BANKS,BOK,4280,4360,ascending,sequential,current,4
COMMERCIAL BANKS,BOK,4280,4360,ascending,sequential,fixed_5,3
COMMERCIAL BANKS,BOK,4280,4360,ascending,sequential,fixed_10,4
COMMERCIAL BANKS,BOK,4280,4360,ascending,sequential,trigger,4
COMMERCIAL BANKS,BOK,4600,4680,symmetrical,up,current,4
COMMERCIAL BANKS,BOK,4600,4680,symmetrical,up,fixed_5,4
COMMERCIAL BANKS,BOK,4600,4680,symmetrical,up,fixed_10,4
COMMERCIAL BANKS,BOK,4600,4680,symmetrical,up,trigger,4
COMMERCIAL BANKS,BOP,3840,3920,symmetrical,sequential,current,4
COMMERCIAL BANKS,BOP,3840,3920,symmetrical,sequential,fixed_5,4
COMMERCIAL BANKS,BOP,3840,3920,symmetrical,sequential,fixed_10,4
COMMERCIAL BANKS,BOP,3840,3920,symmetrical,sequential,trigger,4
OIL & GAS MARKETING COMPANIES,BPL,720,800,descending,down,current,2
OIL & GAS MARKETING COMPANIES,BPL,720,800,descending,down,fixed_5,2
OIL & GAS MARKETING COMPANIES,BPL,720,800,descending,down,fixed_10,2
OIL & GAS MARKETING COMPANIES,BPL,720,800,descending,down,trigger,2
CEMENT,BWCL,1000,1080,symmetrical,whipsaw,current,4
CEMENT,BWCL,1000,1080,symmetrical,whipsaw,fixed_5,4
CEMENT,BWCL,1000,1080,symmetrical,whipsaw,fixed_10,4
CEMENT,BWCL,1000,1080,symmetrical,whipsaw,trigger,4
AUTOMOBILE PARTS & ACCESSORIES,BWHL,0,80,descending,up,current,4
