sector,symbol,start,end,kind,outcome,direction,type_trigger,n_legs,n_reentries,cap_bound,chain_realized_R,original_realized_R_lfd,final_leg_exit_type
AUTOMOBILE ASSEMBLER,MTL,200,280,symmetrical,up,up,1.0,4,3,True,-4.0,-1.0,lfd
AUTOMOBILE ASSEMBLER,MTL,1560,1640,descending,up,up,1.0,1,0,False,2.9119911895801236,2.911991189580124,horizon
AUTOMOBILE ASSEMBLER,MTL,4160,4240,ascending,down,down,3.0,2,1,False,35.15140312135563,-1.0,horizon
FOOD & PERSONAL CARE PRODUCTS,MUREB,2600,2680,ascending,sequential,up,3.0,4,3,True,-4.0,-1.0,lfd
FOOD & PERSONAL CARE PRODUCTS,MUREB,3120,3200,descending,up,up,3.0,4,3,True,-4.0,-1.0,lfd
MISCELLANEOUS,MWMP,760,840,symmetrical,up,up,3.0,3,2,False,3.60839160839161,-1.0,horizon
FOOD & PERSONAL CARE PRODUCTS,NATF,680,760,descending,down,down,2.0,4,3,False,0.33963264533231996,-1.0,horizon
COMMERCIAL BANKS,NBP,1320,1400,symmetrical,up,up,2.0,1,0,False,3.4741867285003147,3.4741867285003147,horizon
COMMERCIAL BANKS,NBP,4840,4920,descending,up,up,1.0,1,0,False,19.85446009389676,19.85446009389676,horizon
TEXTILE COMPOSITE,NCL,2640,2720,descending,up,up,2.0,2,1,False,31.42187499999997,-1.0,horizon
TEXTILE COMPOSITE,NCL,3360,3440,symmetrical,down,down,2.0,1,0,False,12.599999999999989,12.599999999999987,horizon
FOOD & PERSONAL CARE PRODUCTS,NESTLE,2720,2800,ascending,up,up,2.0,1,0,False,-1.0,-1.0,lfd
CHEMICAL,NICL,2560,2640,ascending,down,down,1.0,4,3,True,-4.0,-1.0,lfd
OIL & GAS EXPLORATION COMPANIES,OGDC,2400,2480,descending,down,down,1.0,1,0,False,5.370370370370372,5.370370370370372,horizon
MISCELLANEOUS,PABC,480,560,symmetrical,up,up,1.0,1,0,False,14.427272727272706,14.427272727272706,horizon
PROPERTY,PACE,2240,2320,symmetrical,up,up,1.0,1,0,False,6.985074626865672,6.985074626865672,horizon
CABLE & ELECTRICAL GOODS,PAEL,2160,2240,symmetrical,up,up,1.0,1,0,False,3.347619047619044,3.347619047619044,horizon
CABLE & ELECTRICAL GOODS,PAEL,4800,4880,ascending,up,up,1.0,1,0,False,7.563829787234032,7.563829787234032,horizon
CABLE & ELECTRICAL GOODS,PAEL,4960,5040,descending,up,up,2.0,1,0,False,7.781065088757374,7.781065088757374,horizon
TECHNOLOGY & COMMUNICATION,PAKD,40,120,symmetrical,up,up,2.0,4,3,False,9.226415094339593,-1.0,horizon
TECHNOLOGY & COMMUNICATION,PAKD,2960,3040,symmetrical,down,down,1.0,1,0,False,2.195378151260501,2.195378151260501,horizon
CHEMICAL,PAKOXY,2080,2160,descending,up,up,1.0,1,0,False,6.0293841090738045,6.0293841090738045,horizon
CHEMICAL,PAKOXY,3800,3880,descending,up,up,2.0,1,0,False,-1.0,-1.0,lfd
CHEMICAL,PAKOXY,4400,4480,descending,up,up,1.0,1,0,False,11.279534109816963,11.279534109816964,horizon
INSURANCE,PAKRI,2280,2360,descending,up,up,2.0,1,0,False,4.264367816091967,4.264367816091967,horizon
INSURANCE,PAKRI,3680,3760,symmetrical,up,up,2.0,3,2,False,-2.4020100502512554,-1.0,horizon
ENGINEERING,PECO,0,80,ascending,up,up,1.0,1,0,False,7.093333333333332,7.093333333333332,horizon
ENGINEERING,PECO,1560,1640,descending,sequential,up,3.0,2,1,False,-2.0,0.1455847255369934,lfd
TRANSPORT,PICT,4720,4800,descending,down,down,1.0,2,1,False,-2.0,-1.0,lfd
INSURANCE,PKGI,1320,1400,descending,sequential,down,3.0,4,3,True,-4.0,-1.0,lfd
POWER GENERATION & DISTRIBUTION,PKGP,1960,2040,symmetrical,up,up,1.0,4,3,True,-4.0,-1.0,lfd
PAPER & BOARD,PKGS,3480,3560,symmetrical,up,up,1.0,1,0,False,0.24626865671641826,0.2462686567164182,horizon
TRANSPORT,PNSC,4640,4720,ascending,up,up,1.0,1,0,False,10.853296435988502,10.853296435988502,horizon
OIL & GAS EXPLORATION COMPANIES,POL,360,440,symmetrical,up,up,2.0,4,3,True,-4.0,-1.0,lfd
OIL & GAS EXPLORATION COMPANIES,POL,1640,1720,ascending,sequential,up,3.0,3,2,False,3.6178082191780723,-1.0,horizon
OIL & GAS EXPLORATION COMPANIES,POL,1720,1800,descending,up,up,1.0,1,0,False,7.855345911949666,7.855345911949666,horizon
OIL & GAS EXPLORATION COMPANIES,POL,2440,2520,descending,sequential,up,3.0,1,0,False,-1.0,-1.0,lfd
CEMENT,POWER,160,240,ascending,sequential,down,3.0,4,3,True,-4.0,-1.0,lfd
CEMENT,POWER,4920,5000,symmetrical,up,up,1.0,1,0,False,3.2769230769230764,3.2769230769230764,horizon
PAPER & BOARD,PPP,320,400,symmetrical,down,down,2.0,4,3,True,-4.0,-1.0,lfd
REFINERY,PRL,1680,1760,symmetrical,down,down,2.0,4,3,True,-4.0,-1.0,lfd
REFINERY,PRL,3920,4000,ascending,down,down,1.0,1,0,False,9.01162790697675,9.01162790697675,horizon
REFINERY,PRL,4120,4200,descending,up,up,1.0,1,0,False,2.7471910112359565,2.7471910112359565,horizon
MISCELLANEOUS,PSEL,920,1000,ascending,up,up,1.0,1,0,False,15.914285714285715,15.914285714285716,horizon
OIL & GAS MARKETING COMPANIES,PSO,1160,1240,ascending,down,down,1.0,1,0,False,2.9288417865253638,2.928841786525364,horizon
OIL & GAS MARKETING COMPANIES,PSO,1480,1560,ascending,down,down,1.0,2,1,False,-0.878238341968915,-1.0,horizon
TEXTILE COMPOSITE,QUET,1280,1360,symmetrical,up,up,1.0,4,3,True,-4.0,-1.0,lfd
FOOD & PERSONAL CARE PRODUCTS,QUICE,3400,3480,descending,down,down,2.0,2,1,False,-2.0,-1.0,lfd
FOOD & PERSONAL CARE PRODUCTS,QUICE,3640,3720,ascending,down,down,2.0,4,3,True,-4.0,-1.0,lfd
FOOD & PERSONAL CARE PRODUCTS,QUICE,4760,4840,ascending,up,up,2.0,2,1,False,27.01538461538468,-1.0,horizon
AUTOMOBILE ASSEMBLER,SAZEW,2000,2080,descending,up,up,1.0,1,0,False,1.3699655765920786,1.3699655765920786,horizon
PHARMACEUTICALS,SEARL,1040,1120,descending,down,down,3.0,4,3,False,-4.0,-1.0,lfd
PHARMACEUTICALS,SEARL,1560,1640,descending,up,up,2.0,1,0,False,4.381162079510711,4.381162079510711,horizon
PHARMACEUTICALS,SEARL,4160,4240,descending,down,down,1.0,1,0,False,1.4177884615384617,1.4177884615384615,horizon
PAPER & BOARD,SEPL,3760,3840,descending,up,up,2.0,2,1,False,-2.0,-1.0,lfd
OIL & GAS MARKETING COMPANIES,SHEL,480,560,descending,up,up,1.0,4,3,True,-4.0,-1.0,lfd
OIL & GAS MARKETING COMPANIES,SHEL,3360,3440,ascending,down,down,1.0,1,0,False,6.525966230346215,6.525966230346215,horizon
FOOD & PERSONAL CARE PRODUCTS,SHEZ,3040,3120,descending,up,up,1.0,2,1,False,2.7308868501529004,-1.0,horizon
FOOD & PERSONAL CARE PRODUCTS,SHEZ,3320,3400,symmetrical,up,up,1.0,1,0,False,-0.4184131736526944,-0.220808383233534,horizon
MISCELLANEOUS,SHFA,720,800,descending,down,down,3.0,1,0,False,1.5227272727272732,1.5227272727272732,horizon
MISCELLANEOUS,SHFA,1120,1200,descending,up,up,2.0,4,3,True,-4.0,-1.0,lfd
MISCELLANEOUS,SHFA,4280,4360,descending,sequential,up,3.0,4,3,True,-4.0,-1.0,lfd
COMMERCIAL BANKS,SILK,1320,1400,descending,up,up,2.0,4,3,True,-4.0,-0.6315068493150683,lfd
CHEMICAL,SITC,520,600,symmetrical,up,up,3.0,1,0,False,-1.0,-1.0,lfd
CEMENT,SMCPL,3080,3160,descending,up,up,3.0,4,3,True,-4.0,-1.0,lfd
COMMERCIAL BANKS,SNBL,1920,2000,descending,up,up,1.0,1,0,False,4.11757857974389,4.11757857974389,horizon
OIL & GAS MARKETING COMPANIES,SNGP,560,640,descending,down,down,1.0,2,1,False,-0.5,-1.0,horizon
POWER GENERATION & DISTRIBUTION,SPWL,920,1000,ascending,down,down,2.0,1,0,False,5.969560518731976,5.969560518731976,horizon
OIL & GAS MARKETING COMPANIES,SSGC,400,480,descending,sequential,down,3.0,4,3,True,-4.0,-1.0,lfd
OIL & GAS MARKETING COMPANIES,SSGC,520,600,ascending,up,up,3.0,4,3,True,-4.0,-1.0,lfd
OIL & GAS MARKETING COMPANIES,SSGC,2080,2160,descending,up,up,2.0,1,0,False,6.418604651162796,6.418604651162796,horizon
OIL & GAS MARKETING COMPANIES,SSGC,3000,3080,descending,down,down,3.0,4,3,True,-4.0,-1.0,lfd
OIL & GAS MARKETING COMPANIES,SSGC,4760,4840,descending,up,up,1.0,1,0,False,13.500000000000005,13.500000000000004,horizon
OIL & GAS MARKETING COMPANIES,SSGC,5080,5160,symmetrical,down,down,1.0,2,1,False,1.6691176470588238,-1.0,horizon
MISCELLANEOUS,STPL,120,200,symmetrical,down,down,1.0,1,0,False,1.1315933315113422,1.1315933315113422,horizon
TECHNOLOGY & COMMUNICATION,TELE,3200,3280,ascending,sequential,down,3.0,3,2,False,-0.4736842105263135,-1.0,horizon
GLASS & CERAMICS,TGL,3360,3440,descending,up,up,2.0,4,3,True,-4.0,-1.0,lfd
GLASS & CERAMICS,TGL,3560,3640,descending,sequential,down,3.0,2,1,False,-2.0,-1.0,lfd
FOOD & PERSONAL CARE PRODUCTS,TREET,3720,3800,symmetrical,up,up,1.0,4,3,True,-4.0,-1.0,lfd
