sector,symbol,start,end,kind,outcome,direction,breakout_idx,type_trigger,entry_price,lfd_level,r_lfd_denom,opposite_stop,r_opposite_denom,first_breach_idx,switched,switch_bar,exit_bar,exit_stop,horizon_reached,realized_R_adaptive_fixed,realized_R_adaptive_rebased,realized_R_lfd_static,realized_R_opposite_static
FERTILIZER,EFERT,520,600,descending,down,down,601,1.0,66.58,68.25,1.6700000000000017,70.75599999999999,4.175999999999988,,False,,619,lfd,False,-1.0,-1.0,-1.0,-0.3328544061302693
INSURANCE,EFUG,1680,1760,symmetrical,up,up,1763,1.0,45.6791,43.8775,1.8016000000000005,41.3455874025569,4.333512597443097,,False,,1853,,True,0.4483792184724689,0.4483792184724689,0.4483792184724689,0.1864076731833263
FERTILIZER,ENGRO,80,160,descending,up,up,161,1.0,93.7758,88.8765,4.899300000000011,86.9981223121651,6.77767768783491,,False,,251,,True,6.9140693568468805,6.9140693568468805,6.9140693568468805,4.997891838497987
FERTILIZER,ENGRO,1280,1360,descending,up,up,1381,2.0,137.5634,133.6592,3.904200000000003,132.28165727383862,5.281742726161383,,False,,1471,,True,4.3116899748988216,4.3116899748988216,4.3116899748988216,3.1871488015915226
FERTILIZER,ENGRO,1320,1400,ascending,up,up,1405,2.0,141.0312,137.3337,3.6975000000000193,134.22096752475244,6.810232475247574,,False,,1495,,True,4.399513184584149,4.399513184584149,4.399513184584149,2.388640925126217
FERTILIZER,ENGRO,1840,1920,symmetrical,sequential,down,1930,3.0,88.74,92.5,3.760000000000005,95.43436894510222,6.694368945102227,1948.0,False,,1945,lfd,False,-1.0,-1.0,-1.0,-0.2434882232167021
FERTILIZER,ENGRO,1880,1960,ascending,up,up,1961,1.0,99.16,93.55,5.609999999999999,93.36451455881053,5.79548544118947,,False,,2051,,True,3.9946524064171123,3.9946524064171123,3.994652406417112,3.86680291537416
POWER GENERATION & DISTRIBUTION,EPQL,960,1040,descending,up,up,1053,2.0,16.8362,16.3721,0.46410000000000196,16.03714183571666,0.7990581642833412,1077.0,False,,1061,lfd,False,-1.0,-1.0,-1.0,-0.4888254916340462
AUTOMOBILE PARTS & ACCESSORIES,EXIDE,4160,4240,ascending,down,down,4242,1.0,832.81,900.0,67.19000000000005,872.5535710412148,39.743571041214864,,False,,4332,,True,3.040184551272508,3.040184551272508,3.040184551272508,5.13969919281204
TEXTILE COMPOSITE,FASM,120,200,descending,down,down,201,1.0,34.3,36.1,1.8000000000000043,44.73309859154929,10.433098591549296,,False,,291,,True,0.8611111111111075,0.8611111111111075,0.8611111111111075,0.1485656429294631
TEXTILE COMPOSITE,FASM,360,440,symmetrical,up,up,441,1.0,47.99,47.35,0.6400000000000006,45.7395652173913,2.2504347826087,,False,,531,,True,57.82812499999994,57.82812499999994,57.82812499999994,16.445710973724854
FERTILIZER,FATIMA,1240,1320,symmetrical,up,up,1323,1.0,40.68,39.25,1.4299999999999997,38.12714214339245,2.5528578566075524,,False,,1413,,True,3.965034965034967,3.965034965034967,3.965034965034967,2.2210402296094856
FOOD & PERSONAL CARE PRODUCTS,FCEPL,720,800,descending,up,up,808,1.0,99.36,98.1,1.2600000000000051,96.01525423728812,3.344745762711881,,False,,898,,True,14.626984126984073,14.626984126984073,14.626984126984071,5.510134792743487
FOOD & PERSONAL CARE PRODUCTS,FCEPL,2920,3000,descending,up,up,3004,2.0,59.23,55.1,4.1299999999999955,56.127612874385335,3.102387125614662,,False,,3094,,True,2.937046004842619,2.937046004842619,-0.1549636803874078,-1.0
FOOD & PERSONAL CARE PRODUCTS,FCEPL,3280,3360,symmetrical,sequential,up,3384,3.0,89.79,84.05,5.740000000000009,79.28969879518071,10.500301204819294,3395.0,False,,3395,lfd,False,-1.0,-1.0,-1.0,-0.6066492642207619
CEMENT,FECTC,3520,3600,symmetrical,up,up,3606,2.0,35.35,34.55,0.8000000000000043,34.602742912193776,0.7472570878062257,3644.0,False,,3616,lfd,False,-1.0,-1.0,-1.0,-1.0
CEMENT,FECTC,4240,4320,descending,down,down,4323,3.0,30.0,33.3,3.299999999999997,32.604285714285766,2.6042857142857656,4327.0,True,4327.0,4344,opposite,False,-0.7891774891775054,-1.0,-0.6575757575757587,-1.0
FERTILIZER,FFC,400,480,ascending,down,down,481,2.0,57.0515,58.0206,0.9691000000000045,59.378700116088496,2.3272001160884983,,False,,514,lfd,False,-1.0,-1.0,-1.0,-0.405723596124166
FERTILIZER,FFC,3520,3600,symmetrical,up,up,3603,2.0,95.68,93.4,2.280000000000001,91.5135559440559,4.166444055944112,,False,,3693,,True,4.311403508771927,4.311403508771927,4.311403508771927,2.359326050706453
CEMENT,FLYNG,160,240,descending,down,down,241,1.0,11.8,12.15,0.34999999999999964,12.565153774464118,0.7651537744641175,,False,,331,,True,20.571428571428594,20.571428571428594,20.571428571428594,9.409873204954897
CEMENT,FLYNG,1320,1400,symmetrical,down,down,1401,3.0,3.41,3.72,0.31000000000000005,3.710697674418604,0.30069767441860407,1403.0,True,1403.0,1422,opposite,False,-0.969992498124529,-1.0,-1.0,-1.0
CEMENT,FLYNG,3680,3760,descending,down,down,3761,1.0,6.66,6.85,0.1899999999999995,7.650119668347724,0.9901196683477238,,False,,3851,,True,4.4210526315789584,4.4210526315789584,4.4210526315789584,0.8483822984768717
