symbol,date,bucket,close_t,open_t1,gap_pct,set
SAZEW,2021-02-23,C_gap_down,204.54,198.0,-3.197418597829272,N20_NOTFIT
SAZEW,2021-06-01,A_gap_up,177.62,179.85,1.2554892467064462,N20_NOTFIT
SAZEW,2022-04-12,A_gap_up,81.4,81.58,0.22113022113021205,N20_NOTFIT
SAZEW,2022-07-04,A_gap_up,68.04,68.9,1.2639623750734852,N20_NOTFIT
SAZEW,2023-02-17,A_gap_up,56.31,59.0,4.777126620493691,N20_NOTFIT
SAZEW,2023-04-19,A_gap_up,54.16,56.0,3.3973412112260037,N20_NOTFIT
SAZEW,2023-07-03,A_gap_up,54.54,54.97,0.7884121745507878,N20_NOTFIT
SAZEW,2023-09-07,A_gap_up,80.8,81.0,0.24752475247525105,N20_NOTFIT
SAZEW,2024-02-13,A_gap_up,233.02,241.03,3.4374731782679557,N20_NOTFIT
SAZEW,2024-11-05,A_gap_up,1081.39,1100.0,1.72093324332571,N20_NOTFIT
SAZEW,2024-12-09,A_gap_up,1156.4,1174.9,1.5997924593566237,N20_NOTFIT
SAZEW,2025-04-10,A_gap_up,1149.88,1160.0,0.8800918356697993,N20_NOTFIT
SAZEW,2025-07-14,A_gap_up,1278.65,1285.0,0.49661752629725947,N20_NOTFIT
SAZEW,2025-09-30,A_gap_up,1808.43,1811.01,0.14266518471823222,N20_NOTFIT
SAZEW,2026-01-02,A_gap_up,1760.64,1762.5,0.1056434023991219,N20_NOTFIT
SAZEW,2026-04-14,A_gap_up,2016.25,2079.8,3.1518908865468163,N20_NOTFIT
SBL,2005-11-14,C_gap_down,14.4,14.3,-0.694444444444442,N20_NOTFIT
SBL,2006-01-16,A_gap_up,17.5,17.9,2.2857142857142776,N20_NOTFIT
SBL,2006-09-20,A_gap_up,9.95,10.1,1.507537688442215,N20_NOTFIT
SBL,2007-01-19,A_gap_up,17.0,17.05,0.2941176470588277,N20_NOTFIT
SBL,2007-04-12,F_flat,18.6,18.6,0.0,N20_NOTFIT
SBL,2007-12-06,A_gap_up,20.0,20.4,1.9999999999999927,N20_NOTFIT
SBL,2008-08-18,F_flat,11.0,11.0,0.0,N20_NOTFIT
SBL,2009-04-03,A_gap_up,5.5,5.99,8.909090909090912,N20_NOTFIT
SBL,2010-02-22,F_flat,3.59,3.59,0.0,N20_NOTFIT
SBL,2010-04-08,F_flat,3.5,3.5,0.0,N20_NOTFIT
SBL,2010-10-19,no_open_data,,,,N20_NOTFIT
SBL,2010-12-10,A_gap_up,2.05,2.13,3.9024390243902474,N20_NOTFIT
SBL,2011-04-20,A_gap_up,2.11,2.15,1.8957345971564,N20_NOTFIT
SBL,2012-01-10,no_open_data,,,,N20_NOTFIT
SBL,2012-03-09,A_gap_up,2.22,2.4,8.108108108108095,N20_NOTFIT
SBL,2012-08-15,C_gap_down,2.54,2.49,-1.968503937007867,N20_NOTFIT
SBL,2012-11-26,A_gap_up,2.73,2.79,2.1978021978021998,N20_NOTFIT
SBL,2013-01-01,A_gap_up,3.3,3.43,3.9393939393939497,N20_NOTFIT
SBL,2013-04-19,F_flat,2.64,2.64,0.0,N20_NOTFIT
SBL,2013-05-30,A_gap_up,3.19,3.25,1.8808777429467103,N20_NOTFIT
SBL,2013-11-11,A_gap_up,3.32,4.24,27.710843373493987,N20_NOTFIT
SBL,2014-02-10,A_gap_up,5.96,5.98,0.33557046979866545,N20_NOTFIT
SBL,2014-03-31,A_gap_up,5.79,5.87,1.381692573402419,N20_NOTFIT
SBL,2014-09-02,A_gap_up,7.01,7.2,2.7104136947218316,N20_NOTFIT
SBL,2015-01-02,C_gap_down,7.61,7.49,-1.5768725361366636,N20_NOTFIT
SBL,2015-07-10,no_open_data,,,,N20_NOTFIT
SBL,2016-02-01,A_gap_up,7.0,7.15,2.142857142857148,N20_NOTFIT
SBL,2016-03-21,C_gap_down,7.88,7.75,-1.6497461928933996,N20_NOTFIT
SBL,2016-09-15,C_gap_down,8.42,8.15,-3.206650831353914,N20_NOTFIT
SBL,2017-02-01,A_gap_up,8.41,8.55,1.664684898929852,N20_NOTFIT
SBL,2018-01-09,C_gap_down,8.49,7.5,-11.660777385159014,N20_NOTFIT
SBL,2018-03-28,no_open_data,,,,N20_NOTFIT
SBL,2018-10-05,no_open_data,,,,N20_NOTFIT
SBL,2019-10-11,C_gap_down,6.53,6.5,-0.45941807044410793,N20_NOTFIT
SBL,2020-05-29,C_gap_down,8.52,8.0,-6.103286384976521,N20_NOTFIT
SBL,2020-10-13,A_gap_up,8.76,9.75,11.3013698630137,N20_NOTFIT
SBL,2021-09-06,C_gap_down,6.89,6.7,-2.757619738751807,N20_NOTFIT
SBL,2022-11-21,F_flat,7.8,7.8,0.0,N20_NOTFIT
