symbol,signal_date,lookback_n,strategy_confirmed,status,close_t,trigger_price,next_date,next_open,next_low,gap_pct,gap_pct_raw,gap_vs_trigger_pct,fillable_at_close_t,note
PRL,2026-07-17,60,False,Stopped,44.59,44.59,2026-07-20,44.29,43.95,-0.6727965911639476,-0.6727965911639476,-0.6727965911639476,True,
SHNI,2026-07-17,20,True,Stopped,10.87,10.87,2026-07-20,10.16,10.07,-6.531738730450774,-6.531738730450774,-6.531738730450774,True,
SHNI,2026-07-17,60,True,Stopped,10.87,10.87,2026-07-20,10.16,10.07,-6.531738730450774,-6.531738730450774,-6.531738730450774,True,
STML,2026-07-17,20,False,Stopped,58.17,58.17,2026-07-20,58.17,53.11,0.0,0.0,0.0,True,
STML,2026-07-17,60,False,Stopped,58.17,58.17,2026-07-20,58.17,53.11,0.0,0.0,0.0,True,
TPLT,2026-07-17,20,True,Stopped,27.91,27.91,2026-07-20,29.5,27.0,5.696882837692583,5.696882837692583,5.696882837692583,True,
TPLT,2026-07-17,60,True,Stopped,27.91,27.91,2026-07-20,29.5,27.0,5.696882837692583,5.696882837692583,5.696882837692583,True,
CNERGY,2026-07-20,20,False,Stopped,10.61,10.61,2026-07-21,10.66,9.85,0.47125353440151474,0.47125353440151474,0.47125353440151474,True,
CNERGY,2026-07-20,60,False,Stopped,10.61,10.61,2026-07-21,10.66,9.85,0.47125353440151474,0.47125353440151474,0.47125353440151474,True,
DBCI,2026-07-20,20,True,Stopped,18.71,18.71,2026-07-21,20.57,20.25,9.94120791020844,9.94120791020844,9.94120791020844,False,
DBCI,2026-07-20,60,True,Stopped,18.71,18.71,2026-07-21,20.57,20.25,9.94120791020844,9.94120791020844,9.94120791020844,False,
GOC,2026-07-20,20,False,Stopped,210.41,210.41,2026-07-21,211.03,196.13,0.29466280119766386,0.29466280119766386,0.29466280119766386,True,
GOC,2026-07-20,60,False,Stopped,210.41,210.41,2026-07-21,211.03,196.13,0.29466280119766386,0.29466280119766386,0.29466280119766386,True,
KSBP,2026-07-20,20,False,Stopped,254.82,254.82,2026-07-21,255.61,247.0,0.3100227611647518,0.3100227611647518,0.3100227611647518,True,
KSBP,2026-07-20,60,False,Stopped,254.82,254.82,2026-07-21,255.61,247.0,0.3100227611647518,0.3100227611647518,0.3100227611647518,True,
NRL,2026-07-20,20,False,Stopped,430.35,430.35,2026-07-21,432.35,412.0,0.46473800395027304,0.46473800395027304,0.46473800395027304,True,
NRL,2026-07-20,60,False,Stopped,430.35,430.35,2026-07-21,432.35,412.0,0.46473800395027304,0.46473800395027304,0.46473800395027304,True,
OML,2026-07-20,20,False,Stopped,118.34,118.34,2026-07-21,124.95,120.02,5.585600811221902,5.585600811221902,5.585600811221902,False,
OML,2026-07-20,60,False,Stopped,118.34,118.34,2026-07-21,124.95,120.02,5.585600811221902,5.585600811221902,5.585600811221902,False,
PRL,2026-07-20,20,False,Stopped,49.05,49.05,2026-07-21,50.99,47.9,3.9551478083588276,3.9551478083588276,3.9551478083588276,True,
PRL,2026-07-20,60,False,Stopped,49.05,49.05,2026-07-21,50.99,47.9,3.9551478083588276,3.9551478083588276,3.9551478083588276,True,
STML,2026-07-20,20,False,Stopped,63.98,63.98,2026-07-21,70.38,57.58,10.00312597686777,10.00312597686777,10.00312597686777,True,
